t,f1,f2,f3,fx,fy,fz,frx,fry,frz
0,1400.26612005526,1430.95487742573,1414.28853914682,-11.2598691033942,12.8576331685554,-3361.95089741962,-412.940744395785,76752.3792356893,212.694887081802
0.05,1421.9151157094,1440.43898570906,1429.81756796347,-6.47852929119987,8.18492831077706,-3397.8750559712,-266.444710744962,77941.811304604,134.415788760353
0.1,1420.80518593829,1440.10909956443,1429.04254662173,-8.62401579472859,5.88386845019413,-3395.54421835906,-363.303022551395,77921.2006403756,136.590242798511
0.15,1408.26933084043,1434.34034729798,1419.72774633183,-13.9054498355761,4.83123448092514,-3373.4240564828,-574.869830885708,77295.3277718042,178.12556881249
0.2,1395.26790057848,1427.47036651203,1409.57697820128,-18.8102035515807,3.79679669214983,-3349.58334332397,-776.774793236099,76650.2344212425,217.823560493302
0.25,1390.96066853688,1423.487583088,1405.63960058956,-20.8327152360242,1.40588387582311,-3339.83596218821,-863.777565756403,76477.7688125881,217.067518494032
0.3,1393.06142036766,1421.69982898031,1406.75531569526,-20.7291412168597,-1.97350633836573,-3340.93293656634,-847.34961144349,76650.5627905046,181.277140547089
0.35,1396.63736537199,1420.10529034334,1409.57544719844,-19.9250882742702,-5.653004218861,-3344.78270838194,-771.283782561183,76899.040409003,127.630900065716
0.4,1400.24688063132,1418.30047569398,1413.32363192514,-19.0507888545637,-9.60856407050532,-3349.25899666908,-652.662667762727,77144.809536293,61.2055221208036
0.45,1402.64187793902,1415.97985015601,1417.16374752854,-18.6851282663028,-13.7737795526277,-3352.41898904702,-514.781520882212,77322.1268129723,-11.327342813056
0.5,1402.07632399901,1412.49136764811,1419.55486944574,-19.3661776313449,-17.8462053746585,-3351.13979447314,-390.828056788325,77338.3927078993,-79.0450920628272
0.55,1402.54158306578,1409.82586881922,1423.29781977943,-20.1818157936881,-22.3893712243931,-3352.27253338498,-259.102876754209,77412.698728123,-152.837649634603
0.6,1425.73888872907,1417.7169929154,1444.36848042606,-15.7389901052896,-30.9437615212783,-3392.83986292266,70.2056426768005,78730.5658172062,-313.832071213763
0.65,1457.35384554717,1430.00976606501,1471.749714386,-9.48384504835086,-40.71283235255,-3448.23744815261,448.949324809238,80509.2454360098,-500.439650950827
0.7,1424.76780048516,1415.02679750343,1451.08165272619,-19.3266730800497,-38.661018391623,-3394.60933771507,194.503361830309,78776.5816616788,-419.173831274126
0.75,1353.07347011478,1383.09591389368,1400.37632110723,-38.513472636793,-28.9603890313812,-3273.80197385316,-450.124769489169,74902.3463030822,-167.753858951345
0.8,1314.5273810407,1364.35423310835,1372.0799826956,-48.1904862408492,-24.2935981679877,-3206.83424620922,-809.386750109293,72841.5875337694,-35.5144670177065
0.85,1309.36997669278,1357.85377746491,1365.55092369382,-47.7580523718619,-24.8845057221178,-3192.70852621987,-876.891548325129,72612.4768955343,-27.4678465104587
0.9,1317.32783518267,1355.02739453671,1366.94664540259,-42.7941635215411,-27.7661173776453,-3198.07385714187,-813.177128569983,73107.3300807545,-74.9981001326404
0.95,1332.95435538094,1354.77153879256,1374.09446880972,-35.6786430163636,-32.405072921406,-3216.04578602217,-653.443531389296,74026.5862181115,-163.606174077053
1,1353.68711363593,1357.29652765361,1386.87115707135,-28.0403600677021,-38.6795013243823,-3244.60054517661,-410.712810922146,75227.3732961408,-288.435846187841
1.05,1373.51640078686,1361.02124509112,1401.95213535218,-22.0578468033551,-45.6239522211941,-3275.12556759298,-138.70929504133,76377.4741931018,-426.906369255189
1.1,1386.83059980864,1363.91870336842,1415.03511163246,-19.1780193641256,-51.9334205895114,-3298.23555130344,94.5781612563059,77165.7247979898,-550.11107726413
1.15,1391.62549809857,1365.21526551261,1423.73056845125,-19.6071691018514,-56.6641944636418,-3309.87764181443,241.567307040304,77479.9457219885,-637.621204821572
1.2,1390.35604663759,1365.84951888542,1428.67915247504,-22.3098780933811,-59.6274210122015,-3313.2256004793,293.795713048235,77455.0222834782,-686.122069449443
1.25,1389.47568247296,1368.31375550242,1433.47356522568,-25.1983681044973,-61.4512862849783,-3318.12178200083,283.317072286561,77446.4620464417,-710.844691099193
1.3,1393.81461437623,1374.43878218186,1440.97654259892,-26.7775410532446,-62.7409598867302,-3332.04245203261,239.535555898041,77721.5729793382,-725.898354839273
1.35,1396.01965076062,1380.42259468257,1445.20044767381,-28.5429734837785,-62.232287589416,-3341.61392208553,99.988499037914,77877.548917594,-702.6400637201
1.4,1381.57358008742,1378.67137568401,1434.27455584524,-33.3618742272779,-57.4283732677356,-3320.31671079321,-255.145257668912,77116.1728346622,-584.832234024189
1.45,1353.45774364953,1368.73370653433,1408.7224944942,-39.4387199704119,-48.8750307966397,-3270.57947059639,-793.580019735478,75602.1962187922,-385.439984753229
1.5,1333.98818909532,1359.24530014893,1384.42985124668,-40.6956085527454,-40.7682916979378,-3229.03328823676,-1305.60576912154,74564.4462366671,-199.704177772231
1.55,1337.28470017055,1357.00212644595,1373.66495875135,-34.377848318753,-36.262415089358,-3221.6147734052,-1634.91968993234,74780.3618937009,-98.781260559693
1.6,1358.2791273765,1361.69177994536,1376.04309221226,-23.3826261060237,-35.271491774124,-3243.79198472456,-1783.54317552545,75970.6933186104,-80.3307666780204
1.65,1385.4142920725,1370.3448568712,1386.07939138475,-12.161000429644,-36.3007210852019,-3279.87306791679,-1823.10870682827,77496.8413717801,-109.765438559409
1.7,1409.90409272937,1380.81755087541,1399.11135671457,-3.97033212447743,-37.8908061933107,-3317.60553283586,-1826.52157880755,78871.9466141313,-152.83492348453
1.75,1425.68814653956,1391.3327709562,1410.99751717949,-0.700071420396387,-38.6992543332881,-3347.56904251079,-1862.67789236384,79760.5585138523,-178.321684739925
1.8,1429.2426522314,1399.8903704683,1417.80541082652,-2.68225705093052,-37.6409681453857,-3362.35223205256,-1987.03380437807,79968.0462092281,-161.87943385772
1.85,1421.10233265467,1405.30964845974,1417.54003669207,-8.63053685887903,-34.2817342535807,-3359.91360198341,-2222.56626031639,79525.2749730227,-94.2678705224208
1.9,1406.19296715757,1408.06149242392,1411.28741207522,-16.0424579467833,-29.0090928262362,-3345.36928440301,-2551.80119826915,78706.4566404427,15.1753248969056
1.95,1391.43563197279,1409.72691463207,1402.38172921834,-22.2005202315779,-22.8416862385642,-3328.03060585286,-2924.60753656153,77894.8778279024,142.593355055135
2,1381.17991011858,1411.29163640399,1393.57316520262,-25.587797814047,-16.7661731424774,-3314.26194970739,-3288.98133098409,77331.3313249327,264.720040831503
2.05,1374.0695862309,1411.47280530775,1383.98301740048,-26.3583649976102,-10.9566550291656,-3301.34127942199,-3629.17452139083,76941.3352503231,376.810344064876
2.1,1365.88710742874,1407.7365111276,1370.46607585897,-25.3149912454156,-5.00306732715899,-3281.55290763696,-3957.3676935067,76491.3794759085,487.620808833979
2.15,1356.9011250902,1399.70544206379,1353.19184478926,-22.2088681528987,0.808838753759977,-3254.94630342162,-4255.62988470757,75995.1270250466,590.203913415324
2.2,1353.86513171388,1390.59077757305,1337.87125752865,-15.6431171758443,5.03553371666861,-3233.7552720136,-4455.53212624774,75823.7424228397,651.430579931568
2.25,1362.69156918824,1384.69128475697,1331.20674293832,-5.38383376444032,6.27079713057261,-3231.17417760088,-4494.27057627656,76302.2554357539,640.085195505746
2.3,1381.63105039282,1383.98948049439,1335.42535499,6.17191914457263,4.35099472794333,-3249.09059004855,-4368.84232417319,77334.5277982782,554.654278364405
2.35,1402.81865282655,1387.43499588245,1347.66754961678,15.3687877154378,0.296570902212523,-3278.26125645458,-4131.22402711515,78487.7125253085,420.894770468876
2.4,1418.03037011175,1392.65589491093,1362.93107691942,19.4169015154559,-4.40890195045131,-3306.45898300902,-3855.25139988555,79308.5485651703,274.449260229759
2.45,1422.35103961846,1397.31817605289,1376.49275073492,17.4558692850732,-8.42823049681564,-3324.30385656176,-3607.8669094584,79526.6307789588,146.636346051577
2.5,1415.15478346126,1399.37369762513,1384.89085507929,10.7931044594972,-10.9722953022589,-3327.00435797747,-3427.68243555566,79107.9214364113,54.7649192475453
2.55,1399.87575450967,1397.62602383288,1386.83301737713,2.32252296213189,-11.9868003746193,-3315.33327829144,-3315.76004503939,78241.489508857,-2.0532893269062
2.6,1382.85175443447,1392.40034545113,1383.69044957036,-4.57046235543606,-12.0614968129003,-3295.61354642509,-3242.24782198191,77276.4790167967,-39.7294128115997
2.65,1370.79790003096,1385.18636659103,1378.51193373677,-7.13669473654084,-12.0793711055351,-3276.68336534244,-3164.39760108753,76582.1589125683,-80.1215550582334
2.7,1367.58088260474,1377.63924413459,1374.17551731623,-4.37071669714054,-12.7337194831143,-3265.13729492076,-3049.46825528148,76370.4691002334,-139.574864107318
2.75,1372.63429000071,1370.50786128712,1371.70325114596,2.82534075486421,-14.1794638501405,-3261.92231922094,-2890.61844237244,76610.3148049161,-221.207492561728
2.8,1382.6311508253,1363.54928153918,1370.31525480947,12.7140942231702,-16.118175572101,-3263.62675235049,-2702.90614160919,77118.3192626361,-317.235521845227
2.85,1394.88244358285,1356.91856246996,1369.65199426199,23.7054814232997,-18.2714494920936,-3267.96715594541,-2501.611314601,77745.8884931234,-420.088856608905
2.9,1409.13969933992,1352.05252182604,1371.29139045328,34.7231830132047,-20.7260829223354,-3277.0778310872,-2285.06663697871,78478.7853310495,-530.983212885534
2.95,1425.89103155703,1350.85720761819,1377.58942768939,44.7725578837341,-23.7282700814636,-3294.64968189172,-2042.97615209442,79343.1599279611,-655.307023443744
3,1443.43921166359,1354.41760126081,1389.49335147381,52.1933929086411,-27.1880193319964,-3320.92491655465,-1780.34293779259,80245.8748083875,-790.377909138313
3.05,1457.61493288425,1362.05091826206,1405.2473017978,55.1453005534734,-30.5000383514767,-3350.7150475579,-1526.56128522986,80959.472141821,-921.192431592191
3.1,1464.1480963703,1371.58986334206,1421.13715736592,52.7788765223447,-32.8104960220485,-3376.06760073754,-1323.02609775614,81250.9816565362,-1027.34391501295
3.15,1461.19820591892,1380.57754196121,1433.31314636128,45.8630873819253,-33.3690060253873,-3390.60675970482,-1207.23422044586,81020.817486009,-1091.68727874781
3.2,1450.44001597415,1387.08936725349,1439.05902603296,36.8192577541973,-31.7703845486989,-3392.02019894827,-1201.01731300911,80361.7948105994,-1105.92085287555
3.25,1436.59070021076,1390.21373287113,1437.62028808424,29.0661542863261,-28.1286898726334,-3382.71684371551,-1300.33165486479,79531.634426353,-1074.43214532144
3.3,1425.62853074712,1390.43220820172,1430.58573819072,25.6731764956373,-23.0619897823033,-3369.01850116422,-1474.85239361606,78856.211996691,-1013.52365321649
3.35,1422.51258619188,1389.33579387958,1421.01707472127,28.3045193954711,-17.3666038631519,-3358.46879487692,-1684.2298142936,78605.1520602086,-943.144058162732
3.4,1429.04542752662,1388.87996092177,1411.94884443872,36.5806867846113,-11.6095049006823,-3356.40230787248,-1898.96171035588,78875.5391269909,-876.80778240454
3.45,1443.19402091615,1390.45066495649,1405.18527588468,48.2902356056857,-5.98987002516037,-3363.72988098268,-2106.98718196895,79555.9296433085,-818.455877549928
3.5,1460.49115480594,1394.32959777438,1401.06476811089,60.4823997473399,-0.512223153856467,-3377.4325757063,-2304.59868558767,80403.0159248474,-766.948844064312
3.55,1476.52865784409,1399.94879984084,1399.2455016473,70.7114152152387,4.71542960776191,-3393.33165698376,-2481.99418975597,81176.7057758458,-723.373033026941
3.6,1488.68916065391,1407.28754211019,1399.67206780273,77.3693955413844,9.71295004612533,-3409.30013430586,-2639.06260098191,81735.2785453202,-686.245234990489
3.65,1496.12692293389,1416.59125216351,1402.60441811327,79.7637166982948,14.466900894322,-3425.06048228383,-2775.37167867999,82033.7579721442,-655.459811468221
3.7,1498.70043885316,1427.62243394875,1407.83764056696,77.9247614054984,18.9502213387464,-3440.15355452965,-2889.61125954057,82065.6152027718,-631.528391992042
3.75,1496.10514969691,1439.49113967493,1414.11284760208,72.2834031081413,23.3475890692762,-3452.65853668633,-2991.91992992179,81816.1605822437,-609.886912274502
3.8,1488.29294030658,1450.65153460028,1419.16427799836,63.9408019214521,28.0283775305204,-3459.5546323306,-3102.60052736705,81284.2125663896,-581.365966164365
3.85,1476.42820189406,1459.41653503746,1420.67730475729,54.8192648048269,33.312735558026,-3458.62147243458,-3239.66077672639,80533.521188981,-538.084351319186
3.9,1463.34859431412,1464.61264063727,1417.32574416108,47.4388316567436,39.2736858187078,-3450.12349985678,-3407.9685441544,79717.3767976805,-478.624572945908
3.95,1453.10686001773,1465.94914266741,1409.33303359921,44.3576318957182,45.6372569604075,-3437.18595538947,-3593.46616643319,79053.4184564583,-410.325710959952
4,1449.60210220058,1464.19454850331,1398.67173572417,47.1985378789151,51.7717747006211,-3425.0195195959,-3761.87973557028,78750.256659299,-349.140321157467
4.05,1454.94265801182,1461.002072593,1388.45805799933,55.8486086998682,56.9177774513165,-3419.02817691348,-3870.79450891465,78920.2140871347,-313.882632682947
4.1,1468.34993320323,1458.3137932898,1381.66237888125,68.3585309155097,60.551703919623,-3422.47270462391,-3889.78150744681,79520.1847171359,-317.322806094227
4.15,1486.2452769089,1457.59010508237,1380.0313028188,81.5411641129141,62.5388188500726,-3435.07956989449,-3809.34160659821,80357.1574799866,-362.240595579857
4.2,1503.64136822854,1459.25758086853,1383.73519474243,92.1049448792278,63.0181244367135,-3453.41439488964,-3635.22845490981,81163.3947951683,-444.140703930093
4.25,1516.20675713982,1462.78004465312,1391.77252058032,97.8133091085523,62.2253214162318,-3472.87232495231,-3379.41049112165,81706.725612468,-556.004473468251
4.3,1521.77692183877,1467.30424451697,1402.71294467357,97.9933645285216,60.4507607130641,-3489.95225955244,-3058.21266461885,81872.06170434,-690.019553391714
4.35,1520.69089067419,1472.10934439406,1415.12078213088,93.4922740826369,58.0588157886929,-3503.2122629095,-2693.55237318875,81678.7824097775,-837.364370239718
4.4,1514.90370075916,1476.6022650098,1427.63343039998,86.1103022362114,55.4436636626066,-3512.63668504324,-2309.98954635586,81232.4905582853,-989.019093251027
4.45,1506.84052419539,1480.16825115387,1438.92783934754,77.9256392359928,52.9655109249331,-3518.59509730358,-1930.60913113207,80664.1715596,-1136.90570315987
4.5,1498.83689121839,1482.09037084036,1447.69301258804,70.9902080637272,50.9185177007046,-3521.31661614318,-1575.21159830368,80099.4977286668,-1274.051570761
4.55,1492.99485989953,1481.69597693245,1452.95549761751,67.1053873603663,49.4372259925962,-3521.14899761082,-1254.75540417889,79650.8138331969,-1396.48167490831
4.6,1491.24894795521,1478.8910183678,1454.56868028509,67.5471961194024,48.5372901218047,-3519.41360440788,-972.486759132527,79421.0310291887,-1503.33130015353
4.65,1495.23118235537,1474.17442476422,1453.43930158414,72.9276347493184,48.011705979066,-3518.49448557175,-716.818796481781,79495.7605545035,-1599.79017888722
4.7,1505.65040361759,1468.65855883699,1451.52544050115,82.7967889539097,47.4440148796946,-3521.37092546904,-461.463090957716,79910.616569668,-1696.79219890119
4.75,1521.66993471913,1463.88965047585,1451.26855138638,95.4627792607146,46.4066804205243,-3530.5398917178,-177.187148035377,80619.0439817579,-1806.14927178764
4.8,1540.67817495331,1461.35634540609,1454.65775354173,108.280457912745,44.6801190320972,-3546.71090601372,154.136314579703,81480.2365275445,-1934.96467515026
4.85,1558.7340082915,1462.03096973199,1462.45046884221,118.291058741627,42.4029255247521,-3568.17171142937,528.651755357906,82283.6322756097,-2081.46248965643
4.9,1571.92108614692,1466.02012198577,1473.83744683313,123.253261023069,40.0504609588066,-3591.30194198195,919.654988323167,82821.8457993427,-2234.84553516692
4.95,1577.76621708403,1472.54087533672,1486.81877414894,122.435914844757,38.226036452639,-3611.96012116855,1289.21836609885,82965.3229282844,-2380.08771853951
5,1576.13274680666,1480.31962858138,1499.07645255518,116.796706081475,37.4287865604976,-3627.18924026224,1602.98992160287,82709.3867662572,-2503.89585367376
5.05,1569.20419496415,1488.09158997576,1508.6387258343,108.626407392978,37.9861891153057,-3636.12468623729,1835.98965454411,82172.6403503904,-2596.77243044026
5.1,1560.48813831498,1494.94774811487,1514.18858067465,100.761819313435,40.0875720969548,-3639.73891553151,1972.42451956581,81542.5009794537,-2652.65721694017
5.15,1553.47621894642,1500.42346044268,1515.25756277112,95.6596318694851,43.733038849403,-3640.01991059477,2009.93903946799,81004.3582157422,-2670.4517952774
5.2,1550.65315352827,1504.31174738305,1512.12630379309,94.8500578550441,48.6791040768493,-3638.97229453422,1962.70814630265,80689.6716030618,-2655.07443813946
5.25,1553.17504028191,1506.65660176529,1505.61690572137,98.8145314536334,54.5379001098486,-3638.19615776273,1855.11572398596,80658.5277250372,-2615.18803942855
5.3,1560.98833085697,1507.93832848996,1496.99179770894,107.02258251169,60.9271090812304,-3639.04004832082,1712.76834055798,80906.4741952361,-2560.27442735977
5.35,1573.14920020046,1508.98677632788,1487.82188511787,118.189346386555,67.4889816186159,-3642.67515004474,1560.89090600144,81381.7289254209,-2500.32870472263
5.4,1588.03598808032,1510.80438203411,1479.81996133921,130.518656809246,73.881543879452,-3649.9911790759,1424.47120522733,81996.255456633,-2445.96024143522
5.45,1603.42190242951,1514.45815184737,1474.55165707161,141.851965068821,79.8708236935151,-3661.33802763037,1322.31469137593,82630.5437486673,-2405.91970877715
5.5,1616.75144151962,1520.70213025153,1472.853243941,150.120510031364,85.4253578631396,-3675.9798451191,1259.56658576073,83148.9177907812,-2383.52442584695
5.55,1625.62518473548,1529.65643741604,1474.44581104592,153.867664338344,90.7417437727798,-3691.91373549649,1224.57106777037,83425.2396963355,-2374.9739468801
5.6,1628.50680853993,1540.74493442198,1477.98552923484,152.678422325648,96.1889242170182,-3706.40927664878,1191.86245339651,83380.9188921982,-2370.52221567524
5.65,1625.42519798952,1552.73128571784,1481.4437000925,147.500901286473,102.13293716054,-3716.88705894163,1132.88883459323,83021.2866722007,-2358.35346797491
5.7,1618.17913849904,1564.06191052846,1482.89555026014,140.460810004312,108.71703625179,-3721.9809382068,1031.09065954509,82444.7374130455,-2330.3560619049
5.75,1609.76304038238,1573.37040069098,1481.22058648878,134.137575639731,115.776958070308,-3722.04829256625,889.813224158928,81811.9159656484,-2285.64786723839
5.8,1603.3293240272,1579.79016798125,1476.2394744808,130.795085797949,122.939745080158,-3718.7189896807,727.901656622559,81290.1527312186,-2229.45598013482
5.85,1601.7633852919,1583.21546155601,1468.70566353317,132.055442891478,129.769231154644,-3714.7633113928,571.942027722806,81030.1754940578,-2170.63717038721
5.9,1606.24191874838,1584.25437551179,1460.08316338701,138.058309512141,135.849848949828,-3712.75326816559,451.005142602012,81091.4728684747,-2119.97462988753
5.95,1616.17926918485,1583.83967214522,1452.00115101345,147.706344954879,140.855319909897,-3714.27568808711,390.660398855858,81440.063959046,-2087.76264863149
6,1629.71459744065,1583.06805882011,1445.92233285787,159.111228456176,144.632551674563,-3719.91680276167,406.761496924281,81974.6670502072,-2081.3074779464
6.05,1644.4329215744,1583.02424575864,1442.89275025522,170.165116399466,147.234142045706,-3729.48031677066,502.182804264151,82565.1450678154,-2103.34023614458
6.1,1657.9927125162,1584.53871369833,1443.43866999023,179.028211212494,148.839952070935,-3742.20668248509,670.4037794393,83086.0336361137,-2153.02520880724
6.15,1668.5023486526,1588.02563176088,1447.62144175156,184.389902299808,149.640730415756,-3756.98465706107,901.971618547522,83436.8463298227,-2228.17848421267
6.2,1674.67384012288,1593.3616316231,1454.93324920423,185.616263670475,149.820864862679,-3772.29236025634,1184.29749156597,83551.0095647746,-2324.70049846945
6.25,1676.0000971037,1599.90878810069,1464.21063104817,182.897805862901,149.612970265169,-3786.28497687136,1497.67462873137,83404.5909074831,-2434.96841444766
6.3,1673.01690661575,1606.67051984769,1473.8426352949,177.298322401558,149.281730405875,-3797.28618527331,1817.41404242037,83029.8882803023,-2548.7045936129
6.35,1667.38993098307,1612.46634286292,1482.16688631099,170.664584966583,149.021985713642,-3804.3101230645,2121.96550786003,82518.4276907151,-2656.08413756427
6.4,1661.54300181316,1616.2259211951,1487.94071432483,165.174129465062,148.882097339438,-3807.38533050575,2400.26479000655,82000.3309516013,-2750.75204369639
6.45,1658.03520464263,1617.36460860863,1490.74156686432,162.729380849893,148.767978370791,-3807.68904633036,2654.5177221821,81610.3515440438,-2831.49071394755
6.5,1658.93406988656,1615.93562343657,1491.02122863939,164.50229561469,148.496493997012,-3807.22338824421,2897.89927369807,81454.7319051141,-2901.87626509355
6.55,1665.19746031296,1612.6666877206,1489.92936673949,170.589275165729,147.899805455748,-3808.22374062601,3147.71131323723,81578.9810582684,-2968.30986620112
6.6,1676.32916240287,1608.79266112097,1488.92223381249,179.940712172984,146.927878447211,-3812.44083883296,3417.13597860013,81951.263789838,-3037.20917261329
6.65,1690.50963227335,1605.61943873409,1489.31784113704,190.68903629545,145.630836577163,-3820.54220177563,3712.89640425231,82470.9224606411,-3113.48035177417
