t,f1,f2,f3,fx,fy,fz,frx,fry,frz
0,1400.16318505719,1430.90360759307,1414.21077465477,-11.2718973466923,12.8892298201205,-3361.77466175343,-413.258495976642,76746.5854884779,213.055536596075
0.05,1422.13329293555,1440.52890243192,1429.97249853762,-6.40172030883015,8.17288331136969,-3398.24055969579,-263.700066783473,77953.2802442754,133.635760615267
0.1,1421.09883376605,1440.23524344488,1429.2497082576,-8.53012769379909,5.85841516727186,-3396.03439829595,-360.203636382155,77936.7457755016,135.586957988396
0.15,1408.41491601579,1434.40602559493,1419.82135585205,-13.8596107898835,4.81948071585153,-3373.65734117599,-573.907437409692,77302.9667124321,177.7545255588
0.2,1394.79223407278,1427.26821069301,1409.20625253094,-18.9363286749502,3.87333908111381,-3348.75454734835,-782.563669904783,76624.3385469708,219.90926493036
0.25,1390.55533663136,1423.31361658508,1405.3200114734,-20.9512452898918,1.45432525380841,-3339.12130911751,-869.304816796035,76455.9454761303,218.853281854972
0.3,1392.940280249,1421.64140720076,1406.64645897137,-20.777783457665,-1.98314741508733,-3340.69624472634,-850.057758166134,76644.3899124609,181.845697839443
0.35,1396.5584136041,1420.05523212254,1409.50086868407,-19.9568134605679,-5.66944351790228,-3344.61710403021,-772.942432936646,76895.1962915589,127.874487406436
0.4,1400.25809769316,1418.28126074904,1413.32295617124,-19.0480075382925,-9.63150319628231,-3349.25210265395,-652.447100617118,77145.7453342801,60.9215506869368
0.45,1402.89557918325,1416.05725351841,1417.34816276849,-18.6062858913067,-13.826078870276,-3352.82708879908,-511.221321164057,77336.0517368485,-12.7084778319933
0.5,1402.38090019179,1412.58355532804,1419.78135810206,-19.2631112311017,-17.8992402175391,-3351.63445252223,-385.990939640544,77354.8578391804,-80.7384790568538
0.55,1399.50252584048,1408.46652602438,1421.05528132992,-20.9219785060531,-21.8646915409418,-3347.09484927553,-285.284883881561,77246.5640923128,-141.405014789529
0.6,1421.13314142787,1415.69094924732,1441.0062358671,-16.8968336594555,-30.16764766921,-3385.04822963236,30.1578209612593,78479.0956546034,-296.486619822539
0.65,1469.69053397601,1435.34575767022,1480.99880820012,-6.41425903759029,-42.9311836656471,-3469.27333774468,567.92236077369,81183.8830012373,-550.883033618476
0.7,1432.99026035139,1418.53180597159,1457.19386782584,-17.2603123264448,-40.159670143362,-3408.53863836012,272.959042338617,79226.4566110559,-452.898124529552
0.75,1345.22912629947,1379.69565315679,1394.57581933993,-40.4973673675261,-27.6115179954647,-3260.47245578941,-523.062607064396,74473.0203899524,-136.617519370783
0.8,1309.15235743404,1362.18130811782,1368.23490141833,-49.6380484215441,-23.3618730509107,-3197.90226456799,-860.430320071213,72546.5899870686,-13.8238087065145
0.85,1307.94134250482,1357.41114091946,1364.56949222012,-48.1966955418541,-24.5961825396285,-3190.44434315822,-893.807177276537,72533.2020489509,-20.5696990431882
0.9,1315.85295656542,1354.48291740513,1365.80819242066,-43.1726263946912,-27.4323951262562,-3195.5823671983,-831.243110873654,73025.6104480718,-67.4111300226711
0.95,1331.44297498224,1354.12125729288,1372.79681135682,-35.991300281367,-32.0272455476521,-3213.33483891989,-672.584093808979,73943.1607106302,-155.312821366988
1,1353.44178911043,1357.07917990431,1386.36906355071,-27.9552825811079,-38.5016171103361,-3243.85538746844,-418.734397384942,75213.8552426448,-284.828398287177
1.05,1374.64320271233,1361.34015785334,1402.48355926679,-21.622205088956,-45.7292384821699,-3276.69243863109,-131.83812360198,76439.7951140998,-429.662169434935
1.1,1388.6349148044,1364.50677076611,1416.18776462,-18.6104620849847,-52.2434045494683,-3301.03365055899,111.865437331319,77265.6519618427,-557.312537268069
1.15,1393.16334548545,1365.64537337798,1424.77245442713,-19.1254618385483,-57.0056704372338,-3312.2554752058,260.204429309525,77565.3447335566,-645.345228505138
1.2,1390.33566650176,1365.6162049576,1428.69095056946,-22.2607333565755,-59.7595807068821,-3313.05507198059,301.733272615276,77454.5974356871,-688.978386396505
1.25,1387.26962073119,1367.17339277715,1431.98016229256,-25.7396681248164,-61.2355882466634,-3314.35206406438,274.016297079138,77325.5736757709,-705.829150883656
1.3,1393.26309838473,1374.06742049859,1440.75542711482,-26.9336686632544,-62.8156766031823,-3331.15761628512,244.786406881146,77691.4430628557,-727.534866863631
1.35,1402.29370286875,1383.18682650494,1450.20714829151,-27.1047157282955,-63.5244911437405,-3352.59081065056,165.004409358844,78222.6986125662,-731.838735276867
1.4,1388.5920798874,1382.00813042934,1440.09824682345,-31.8960995204704,-58.8666870905295,-3332.94840505106,-183.742857316181,77502.0298801858,-617.33148470787
1.45,1351.31466960529,1368.24655171872,1407.81960782497,-40.318950989639,-48.6307774305875,-3267.79699200409,-805.462096739881,75483.5518211738,-379.849492752973
1.5,1325.89312962983,1356.14747210113,1378.84596457974,-42.967717320452,-39.3321098999659,-3215.89520875016,-1376.81841156003,74117.9768459843,-167.055804195236
1.55,1331.35283854338,1354.63048667978,1369.17979820933,-35.8951513315095,-35.0605586026775,-3211.59400294016,-1696.14596674941,74453.1715730341,-71.3876697138362
1.6,1356.0502487192,1360.63742853743,1373.82647069506,-23.7486490439679,-34.6347276567803,-3239.48069302286,-1818.15363616627,75848.0612059842,-65.7637362765186
1.65,1385.39645892674,1369.99187543794,1385.22265454945,-11.8162990082694,-36.0464899015445,-3278.92226542441,-1838.86143107189,77496.7896270019,-103.963192781717
1.7,1411.8576659726,1381.13269066327,1399.62603251917,-3.04885643679119,-38.0345272997586,-3319.80984045784,-1821.84429449059,78981.0644045044,-156.234006180655
1.75,1429.51747142631,1392.46186600237,1413.08760542131,0.638486790477589,-39.2683724665601,-3353.11781256034,-1835.96472528882,79973.1128737825,-191.531229646377
1.8,1433.68427401185,1401.48231443986,1420.81025878786,-1.38266912002373,-38.4528605782491,-3369.4533328482,-1947.04017113248,80213.8743496812,-180.666295984041
1.85,1424.25502471409,1406.55819830167,1420.07240702431,-7.85548267782893,-35.0011242388007,-3365.35446414827,-2185.53566110628,79699.2133500766,-110.964557849254
1.9,1406.65178859842,1408.34248611089,1412.16280915121,-16.0992506623122,-29.3213056798953,-3346.63312877043,-2533.681689552,78731.0803261732,7.86206002749875
1.95,1389.64666678854,1409.22849756323,1401.72250675482,-22.9201942436476,-22.7237897280098,-3325.71146918289,-2927.91944079606,77795.1069882331,145.351283005912
2,1380.04155555672,1411.22581174759,1393.35688832501,-26.1841944182955,-16.67343300815,-3313.12292946181,-3293.21004978348,77267.2569526452,267.183928683039
2.05,1376.08804599833,1412.97235835424,1386.13108075715,-26.2402231636932,-11.3490648085237,-3305.73132842612,-3612.96467130584,77051.3208568719,368.448571137719
2.1,1368.76385508002,1409.82284868445,1373.3340882842,-25.0835298667819,-5.48847490411019,-3287.63110941327,-3938.67277722155,76648.9546811113,477.413374841467
2.15,1355.54325725228,1399.97575345157,1352.76829688294,-23.0082661259997,1.17199905299069,-3253.72774087292,-4277.51503620852,75919.7629902392,599.672453815248
2.2,1347.65807642329,1388.46125813375,1333.2929676978,-17.3992336707434,6.41525024120638,-3223.63439837674,-4524.86333314841,75481.4841938551,684.153985140337
2.25,1356.30156563721,1381.92571163027,1325.63523470528,-6.74365427075315,7.86327129642526,-3219.65052430405,-4572.76683703449,75949.9861015375,677.122227805574
2.3,1378.94080441501,1382.25885729263,1331.84935123649,6.16000374921499,5.4016955549554,-3242.84506368656,-4420.56505036388,77186.118634499,578.388769247998
2.35,1404.14442775455,1387.10125020984,1346.82426571679,16.5589838939426,0.59549540544604,-3278.40187325762,-4145.66841749397,78560.6963210862,426.659860201776
2.4,1422.12000113256,1393.45777327869,1364.42669521268,21.2392372374292,-4.78456457151403,-3311.48894168322,-3835.85959157017,79533.8992137565,264.393376400903
2.45,1427.80122022506,1398.9810661115,1379.72001659595,19.3172373484767,-9.29406290095556,-3332.42397055993,-3564.11599239808,79826.8329048317,125.442915753804
2.5,1420.16726459542,1401.41491853158,1388.79956913707,12.0569917000516,-12.0119352743159,-3335.59623822967,-3375.59366087626,79383.7700394705,30.1528258944377
2.55,1402.4481794112,1399.16961119633,1389.83541471863,2.51318421995168,-12.7986094627047,-3320.89616482056,-3274.77331199171,78382.701812178,-20.6068618734516
2.6,1381.86032067544,1392.75201936422,1384.54441049064,-5.55058713643649,-12.335848770413,-3295.75440822691,-3227.24281669091,77221.3433525362,-45.1247214429267
2.65,1367.07555505744,1384.47723996112,1377.33589735235,-8.85121990464185,-11.8106079673095,-3272.25582648222,-3176.0619121848,76376.6898714867,-72.5657031945325
2.7,1363.7313175715,1376.77039388702,1372.48534920612,-5.95580383638985,-12.269071644932,-3260.07767651494,-3071.49459342474,76157.9176714099,-127.684960795578
2.75,1370.88600601553,1370.35967443614,1371.07708582412,1.98889477959787,-13.9097110886141,-3259.90576449763,-2904.13247227591,76513.2932269878,-214.446377766583
2.8,1382.52997497772,1363.90425940275,1370.52207446967,12.4803063511018,-16.0333641173297,-3263.95484805215,-2707.79590695498,77112.175593416,-315.264171881417
2.85,1393.91958180169,1356.54827773063,1368.77056577127,23.4873191482903,-17.9845291559712,-3266.21795157181,-2515.903069234,77693.1571576885,-413.446874225121
2.9,1406.11268835363,1350.27554025788,1368.2723395178,34.3057939557764,-20.0362833306791,-3270.95675110287,-2318.40293062718,78313.5448102174,-514.696201212047
2.95,1422.65494683096,1348.38885898828,1373.72576070066,44.6886119186955,-22.9603787978116,-3287.17770156413,-2079.83927578095,79166.8896705415,-637.18403934468
3,1442.77954340277,1352.57340260647,1387.05126116879,53.0746740796919,-26.8662872555752,-3317.08279740997,-1795.14965788242,80210.8066647828,-783.116400572691
3.05,1460.5059609559,1361.66706569219,1405.54943761175,56.9427336358751,-30.8839970272313,-3352.9522653275,-1506.16311457249,81118.5686549911,-930.999031185206
3.1,1469.51574702933,1372.67985431866,1424.06400168996,54.869328645654,-33.8158561964895,-3383.4543273023,-1270.87034161498,81545.0826737039,-1052.03491524472
3.15,1467.08174742772,1382.63034450284,1437.8497750224,47.5044890527838,-34.7124978150756,-3400.40387685576,-1136.91753423255,81342.4117080671,-1124.27686083711
3.2,1454.75548037367,1389.39238865309,1443.78249743307,37.3710819425376,-33.0643701814513,-3400.91487783152,-1132.19863978601,80597.0441041996,-1136.92570964843
3.25,1437.67342848019,1391.8961057303,1440.92156993802,28.2450187404983,-28.9785587839542,-3387.45901100519,-1253.58675654219,79589.9869427192,-1094.25486992052
3.3,1422.97367230059,1390.79892356834,1431.33227286493,23.7118039765167,-23.2414276727799,-3367.78293296116,-1462.44820681503,78710.6160422935,-1016.70990229402
3.35,1417.34984405104,1388.41578180388,1419.35994619817,25.9012022041304,-16.9524571634813,-3352.36588024013,-1703.19978928185,78323.095285932,-931.742775587454
