Time,X,Y,Z,Rotation 1,Rotation 2,Rotation 3
0,22.498,0,13.585,0,0,0
0.1,22.49901903,0.001028546,13.58424701,0.001563423,-7.61E-04,-7.30E-04
0.2,22.50232778,0.004357883,13.58162659,0.006767417,-0.003210477,-0.003037026
0.3,22.50770232,0.009877767,13.57691947,0.015458179,-0.007348755,-0.006787641
0.4,22.51490124,0.01747222,13.56995368,0.027283629,-0.013083544,-0.01183691
0.5,22.52374719,0.027119618,13.56057372,0.041731976,-0.020245686,-0.018111962
0.6,22.53407947,0.038783333,13.54862281,0.058262321,-0.028673885,-0.025530195
0.7,22.54572374,0.052353528,13.53397441,0.076408739,-0.038176875,-0.033955195
0.8,22.55844286,0.067640433,13.51653033,0.095796105,-0.048581928,-0.043201047
0.9,22.57196153,0.084457674,13.49622799,0.116060335,-0.059724988,-0.05309656
1,22.58602189,0.10264793,13.47302629,0.136819855,-0.071437442,-0.063491251
1.1,22.60042248,0.122070427,13.44689142,0.157723169,-0.083514891,-0.074276386
1.2,22.61500043,0.142510415,13.41780486,0.178558967,-0.095733412,-0.085301912
1.3,22.62956722,0.163652793,13.3857694,0.199289325,-0.107895611,-0.096351698
1.4,22.64389636,0.185143902,13.35082386,0.219966976,-0.119821195,-0.107187006
1.5,22.65774565,0.206669969,13.31303545,0.240626897,-0.131351235,-0.117600916
1.6,22.67089694,0.227983891,13.27249255,0.261251587,-0.142340142,-0.127445727
1.7,22.68318612,0.248837675,13.22930304,0.28184298,-0.1526392,-0.136568952
1.8,22.69447886,0.268930024,13.18358239,0.302481678,-0.162109191,-0.144776265
1.9,22.70462624,0.287942593,13.13546661,0.323276535,-0.17063244,-0.151867002
2,22.71343076,0.305606818,13.08512157,0.344260291,-0.178140058,-0.157667687
2.1,22.72067912,0.3217549,13.03274183,0.365320592,-0.184593053,-0.162068263
2.2,22.72619909,0.33628822,12.97853988,0.386235645,-0.189953364,-0.16499732
2.3,22.72987966,0.3491157,12.92273646,0.406758976,-0.194176675,-0.166383301
2.4,22.7316486,0.360126633,12.86556459,0.4266606,-0.197217203,-0.166139723
2.5,22.7314221,0.369218413,12.80726723,0.445696124,-0.199048641,-0.164180752
2.6,22.72908207,0.376354328,12.74810061,0.463542741,-0.19966748,-0.160469998
2.7,22.72448878,0.381570537,12.68834032,0.479796617,-0.199099627,-0.155025057
2.8,22.7175314,0.384914821,12.62827231,0.494058905,-0.197375885,-0.147867793
2.9,22.70816525,0.386389264,12.56818498,0.506022195,-0.194504231,-0.138986839
3,22.69639101,0.385950484,12.50836356,0.515482701,-0.19047566,-0.12834303
3.1,22.68220728,0.383561264,12.44909836,0.522283488,-0.185283342,-0.115913353
3.2,22.66558171,0.379220127,12.39068646,0.526278722,-0.178937069,-0.101709201
3.3,22.64647029,0.372933743,12.33342861,0.527365256,-0.171451008,-0.085750397
3.4,22.62485159,0.364675037,12.27763027,0.525533218,-0.162836606,-0.068035601
3.5,22.60074759,0.354364003,12.22359763,0.52088426,-0.153096636,-0.048526476
3.6,22.57421758,0.341900619,12.17163229,0.513585829,-0.142214477,-0.027172529
3.7,22.5453181,0.32721573,12.1220297,0.503799983,-0.130170839,-0.003950418
3.8,22.51407919,0.310284564,12.07508291,0.491657027,-0.116955904,0.021125763
3.9,22.48051866,0.29109326,12.03108427,0.477284655,-0.102569037,0.048031715
4,22.44468164,0.269600566,11.9903173,0.460844016,-0.086999941,0.076768011
4.1,22.40665753,0.245753072,11.95305667,0.442500609,-0.070222529,0.10735099
4.2,22.36655436,0.219540223,11.91957092,0.422352191,-0.052211193,0.139767962
4.3,22.32446739,0.19102018,11.89011891,0.400396922,-0.032944294,0.173954793
4.4,22.28046106,0.160293001,11.86494771,0.37656914,-0.012411275,0.209815274
4.5,22.23458511,0.127451885,11.84429132,0.35080017,0.009387116,0.247259411
4.6,22.1869114,0.09256941,11.828371,0.323036118,0.032448281,0.286214915
4.7,22.13755576,0.055729197,11.81739042,0.293203186,0.056777815,0.326603318
4.8,22.08666129,0.017061217,11.81153586,0.261173387,0.082386942,0.368311601
4.9,22.03435301,-0.023262217,11.81098133,0.226782531,0.109267092,0.411190275
5,21.98071789,-0.065077037,11.81588616,0.189907647,0.137382598,0.455086433
5.1,21.92582405,-0.108271145,11.82638883,0.150529765,0.166680548,0.499878173
5.2,21.86975318,-0.152771922,11.84260487,0.108719536,0.197096581,0.545470593
5.3,21.8126217,-0.198498192,11.86462991,0.064577938,0.228561528,0.591762467
5.4,21.75456855,-0.245336037,11.89254021,0.018210265,0.26099823,0.638626209
5.5,21.6957262,-0.293171082,11.92638985,-0.030229053,0.294315733,0.685929431
5.6,21.63619591,-0.341934795,11.96621191,-0.080480372,0.328394161,0.733570161
5.7,21.5760575,-0.391610075,12.01201532,-0.132178981,0.363085492,0.781481217
