t,x,y,z,rx,ry,rz
0,0.0119655649923658,0.0170956940429223,-0.0119608423683246,0.0002893845958796,-0.000132169804902836,-0.000125556612740689
0.05,0.0160892521261005,0.0229064155682493,-0.0157769737993902,0.00038697160922538,-0.000177092904333088,-0.000167791137177999
0.1,0.0269727331403757,0.0383320972790522,-0.0261190502425634,0.000645567898968099,-0.000299236211562237,-0.000279836911832905
0.15,0.040117193621505,0.0572140934707999,-0.0393673196298003,0.000963724073033901,-0.000454126991920216,-0.000415592041898358
0.2,0.0525224356715128,0.0754208671914513,-0.0531279899089725,0.00127244531132269,-0.000612701394384284,-0.000544166817607936
0.25,0.0641975941657478,0.0929912060314795,-0.067332557386127,0.00156812873065956,-0.000772529222503963,-0.000666427585495745
0.3,0.075194016598104,0.109970661754918,-0.0817886025557897,0.0018469501052139,-0.000927273325391604,-0.000783073315020622
0.35,0.0856322375037877,0.126438627623526,-0.0965467960855051,0.00210510063786566,-0.00107597436537056,-0.000895279136367936
0.4,0.095590048321796,0.142473072812938,-0.111529143436435,0.00233944121432879,-0.00121508639190612,-0.00100429582229284
0.45,0.105092315361468,0.158072329507964,-0.12661937320247,0.00254851424033178,-0.00134138916780863,-0.00111029947651685
0.5,0.114177618613709,0.173160432558169,-0.141883362764972,0.0027327413874219,-0.00145687359015581,-0.00121238266745527
0.55,0.122841587866937,0.187631531076394,-0.157233704867107,0.00289380047551569,-0.00155925865324166,-0.00130917496257945
0.6,0.131083795126308,0.201365161016006,-0.172518978190578,0.00303400755653055,-0.00164290498881348,-0.00139922850655509
0.65,0.138942354226622,0.214275864055154,-0.187769211687421,0.00315549863421823,-0.00170642038263352,-0.00148176202019584
0.7,0.146246303623506,0.22635614414807,-0.202951058706656,0.00325955209244265,-0.00175322906597446,-0.00155701000593998
0.75,0.152673704108466,0.237617166041673,-0.218194012570823,0.00334697790360307,-0.00179780955727255,-0.00162517631824415
0.8,0.157984167197746,0.24804075465578,-0.233757853165624,0.00341861173134536,-0.00185670960241862,-0.00168581844632981
0.85,0.162111989563435,0.25763285285834,-0.249557812787643,0.003475036655266,-0.00193098069247384,-0.00173893153818163
0.9,0.165253705324808,0.266458175949512,-0.265457244635641,0.00351648752686917,-0.00201123044278835,-0.00178566025053624
0.95,0.167702099352596,0.274568067528172,-0.281340634333883,0.00354363287707153,-0.00208645434298881,-0.00182703254741648
1,0.16963036672702,0.281926248119358,-0.29699569338166,0.00355838377159086,-0.00214668785458999,-0.00186263852079423
1.05,0.171162033787148,0.288447272427919,-0.312353225769723,0.00356367728539898,-0.00218757177343894,-0.00189123863783472
1.1,0.17236641080779,0.294064335222118,-0.327421430384721,0.00356267550131492,-0.00220860787784738,-0.00191189659920741
1.15,0.173164464168437,0.298722485954598,-0.342113147656249,0.00355845239793705,-0.00220905496138857,-0.00192389490005683
1.2,0.173473755260453,0.302356079205396,-0.356498012083833,0.00355398379654658,-0.00219352948974721,-0.00192625193230507
1.25,0.173226721138093,0.30491107311832,-0.370606165037945,0.00355176328395244,-0.00216548829694638,-0.00191802085483291
1.3,0.172347028004644,0.306381690278129,-0.384311161389565,0.00355329557831593,-0.00212354667366414,-0.00189900500394024
1.35,0.170829338497654,0.306819999155131,-0.397697740898323,0.00355899379907101,-0.00207096067124642,-0.00187003498181809
1.4,0.168604122960183,0.306315847830807,-0.410785924163196,0.00356840178696438,-0.00201159249388838,-0.00183258196139954
1.45,0.165538048120105,0.304956741804579,-0.423605564546729,0.00358072827952634,-0.00195245675948012,-0.00178794883097121
1.5,0.16161184445177,0.302784801891156,-0.436323464285038,0.00359550936824173,-0.00190360464465095,-0.00173654514949538
1.55,0.156868669036264,0.299792545120969,-0.448872420620201,0.00361280949066652,-0.00186484629248483,-0.00167793664414756
1.6,0.151478631638298,0.295957036084542,-0.461131088744775,0.0036329277962345,-0.00182907667703642,-0.0016115968189056
1.65,0.145708441525407,0.29127190781683,-0.473038418731047,0.00365603124314192,-0.00178788666234326,-0.00153745694270354
1.7,0.13969809248011,0.285734992425406,-0.484399095470899,0.00368210007426166,-0.00173113173156764,-0.00145550385575885
1.75,0.133528952172554,0.279315750633633,-0.495121638211302,0.00371108793364877,-0.00165472760482039,-0.00136522530393604
1.8,0.127167326085051,0.271997935918314,-0.505271575383422,0.0037424664403255,-0.00156124232465631,-0.00126636172186876
1.85,0.120446161728779,0.263850461748659,-0.514802826407074,0.00377446185107964,-0.00145353613665356,-0.0011599465888203
1.9,0.113221088397999,0.254992564128596,-0.523819839141538,0.00380427361059345,-0.00133947325007554,-0.00104768400936571
1.95,0.105382133099695,0.245518638328632,-0.532439835027237,0.00382894216405432,-0.00122663223360026,-0.000930721746927694
2,0.0968753654299377,0.235500492549283,-0.540581188288921,0.00384571278849064,-0.00111637056941332,-0.000809744005479613
2.05,0.0877324825800514,0.225015471599369,-0.548301490449635,0.00385208568372136,-0.00101182803502591,-0.000685607392618348
2.1,0.0780040222031034,0.214123918508788,-0.55563874898256,0.00384613829976226,-0.000915022091426984,-0.000559143627545638
2.15,0.0677343608814737,0.202844739707453,-0.562518810686648,0.00382676168931321,-0.000826121407235458,-0.000430692979652464
2.2,0.0570003459251112,0.191165435818054,-0.569009114322132,0.0037936011665636,-0.000747949855367882,-0.000300074807361237
2.25,0.0459151922860102,0.179048434103952,-0.57506152678074,0.00374677429689186,-0.000678182831793531,-0.000166654578769101
2.3,0.0345947765346181,0.166454909761648,-0.580502319745243,0.00368638087822461,-0.000608818420771032,-0.0000297780048460713
2.35,0.0231894316447168,0.153395355785134,-0.585286688977728,0.003611895566457,-0.000533263641050972,0.000110438012254556
2.4,0.0117916831012863,0.139942537808168,-0.589299506532122,0.00352192956819664,-0.000444600670703567,0.000252975910672276
2.45,0.000367820443841482,0.126190538352355,-0.592417774526542,0.00341473636736765,-0.000338957950568866,0.00039663050565201
2.5,-0.0111661196680969,0.112214360998929,-0.594742120905792,0.00328899569220404,-0.000221065253106607,0.000540590533250843
2.55,-0.0229599542635625,0.098073249177465,-0.596326404102954,0.0031440937104079,-0.0000969796387660844,0.000684179084971682
2.6,-0.0351793026260055,0.0838306840979902,-0.59722167490791,0.0029801324539273,0.0000261691875517219,0.000826504716445779
2.65,-0.0478639327720246,0.0695099563958579,-0.597596579573565,0.00279831651410539,0.000139575097292707,0.000967261157295992
2.7,-0.0609974119673211,0.0550404787128872,-0.597417176749808,0.00260124884008201,0.000241758330503858,0.0011076169752697
2.75,-0.0744769394054359,0.0403125715508384,-0.596632284659609,0.00239225725114193,0.000334126320693984,0.00124936479804163
2.8,-0.088151667259332,0.0252744891801293,-0.595290602830346,0.00217412767674376,0.000417372487174902,0.00139336224549963
2.85,-0.101920695535242,0.00994690045691415,-0.593285727398353,0.00194857043483471,0.000496120381668068,0.00153934350399861
2.9,-0.115691428247075,-0.00562970463541174,-0.590548490922774,0.00171659038127832,0.000573935676928725,0.00168682595509382
2.95,-0.129377522916073,-0.0214185196994779,-0.587084258212965,0.00147900317824721,0.000653446105772094,0.0018355098908461
3,-0.142940306161783,-0.0373807394262632,-0.582735039822122,0.00123665342547301,0.000741318965567124,0.00198506645631779
3.05,-0.156379783780437,-0.0534811886936978,-0.57746409964216,0.000990687559928203,0.000841200528373912,0.0021351111205681
3.1,-0.169697943644117,-0.069703937243662,-0.571294679759287,0.000742786787468041,0.000953801806423142,0.00228547022333645
3.15,-0.182977659082063,-0.0860634514432498,-0.564144337957703,0.000495064981069393,0.00107962161481503,0.00243639994405044
3.2,-0.196297247830366,-0.102592127227529,-0.556123876972148,0.000249975166089315,0.00121267298552305,0.00258851223005241
3.25,-0.209757256580225,-0.119325117351375,-0.547360614983952,0.00000989325923858933,0.00134496702296204,0.00274248430399873
3.3,-0.223428071248733,-0.136279837261292,-0.537883518074974,-0.000223283147706872,0.00147077021581946,0.00289865427107208
3.35,-0.23729798852176,-0.153438293350745,-0.527814516352191,-0.000448330718567759,0.00158420478386676,0.00305682365242993
3.4,-0.25126355517812,-0.170778143834894,-0.517146953323736,-0.000664627208559129,0.0016849607566288,0.00321681302822517
3.45,-0.265219586233059,-0.188304746831795,-0.505791152365984,-0.000871708744072429,0.00177735841741621,0.00337896497168339
3.5,-0.279031585952652,-0.20602051660915,-0.493736385221926,-0.00106942561076439,0.00186552616804165,0.0035435344754083
3.55,-0.292603575442754,-0.223881429524574,-0.480893368622684,-0.00125834779826214,0.00195529599129409,0.00370991664318775
3.6,-0.305936697612537,-0.241816580456874,-0.467171852845186,-0.00143960093921346,0.00205152552245426,0.00387699963047505
3.65,-0.319025454404475,-0.259781520748374,-0.452584219188111,-0.00161425642143296,0.00215577840199901,0.00404410900714063
3.7,-0.331944412296522,-0.277763776007192,-0.437093213791235,-0.00178312365881456,0.00226962333186004,0.00421111300082598
3.75,-0.344737818098032,-0.29574779928059,-0.420699358622032,-0.00194691736368696,0.00239268845218692,0.00437782702550941
3.8,-0.35743960225593,-0.31370909690534,-0.403493698967807,-0.00210635441258713,0.00252159532914657,0.00454390058417052
3.85,-0.370097018017788,-0.331634272266687,-0.385497250538031,-0.00226213894114846,0.00265311101955234,0.00470920298655493
3.9,-0.3827394215364,-0.349529213836515,-0.36678855396445,-0.00241484732690317,0.00278212251154735,0.00487398653745931
3.95,-0.395360716358354,-0.367402076632538,-0.347492032459317,-0.00256514635543865,0.00290258632334389,0.00503852452053793
4,-0.40793838166281,-0.385240087847563,-0.327629761617217,-0.00271411069578856,0.00301173383914952,0.00520263601496053
4.05,-0.42041726886999,-0.402999281442538,-0.30723887542947,-0.00286337467426446,0.00310858833780824,0.00536551638903537
4.1,-0.432694341601035,-0.420605944189609,-0.286306539617954,-0.00301516543571163,0.00319566117358074,0.00552593284689857
4.15,-0.444703242198543,-0.43798359291116,-0.264715707051519,-0.00317187687373211,0.00327984161481025,0.00568279644272325
4.2,-0.456358726323252,-0.455083205924924,-0.242421612374475,-0.00333551559336694,0.00336692230456438,0.00583556804430346
4.25,-0.467646085675639,-0.471870614282851,-0.219371050256059,-0.00350754547207291,0.00346171117114678,0.00598391383996646
4.3,-0.478624408957245,-0.488310178949071,-0.195501749391777,-0.00368891296699681,0.00356771325457447,0.00612736458048956
4.35,-0.489354495775096,-0.504392180825632,-0.170875841143978,-0.0038797637782246,0.00368323855253273,0.00626576521082202
4.4,-0.499929497372001,-0.520156395768962,-0.145551681992241,-0.00407927205086081,0.00380533110558723,0.00639969465667671
4.45,-0.510409343170487,-0.535656880435528,-0.11958132269278,-0.00428609252002459,0.00393055188207326,0.00652993580294293
4.5,-0.520787499995052,-0.550912757867558,-0.0930990442884549,-0.00449904450538354,0.00405308432791243,0.00665669393524728
4.55,-0.531042324651658,-0.565905470467395,-0.0661631206137137,-0.004717490263629,0.00416963675213549,0.00677960920160458
4.6,-0.541121734752267,-0.580602635706822,-0.0388083969857544,-0.00494121449094444,0.0042780495541392,0.00689827591768351
4.65,-0.550964160291741,-0.594970443404345,-0.0111250567249654,-0.00517019746510931,0.00437573884377915,0.00701240690700894
4.7,-0.560516975026111,-0.608963108625027,0.0169125385107738,-0.00540452865170106,0.00446441881363347,0.00712154660373952
4.75,-0.569724881741117,-0.622522338677344,0.0453313807258093,-0.00564414759251441,0.00454730621023335,0.00722494901924636
4.8,-0.578532576973181,-0.635610708006792,0.0741480988662813,-0.00588834173942894,0.00462817317878453,0.0073220482479728
4.85,-0.586921692440662,-0.64823936847292,0.103456286300609,-0.00613541131628613,0.00471354306189928,0.00741296293740138
4.9,-0.59492016095269,-0.66046769473876,0.133279754633983,-0.00638265301751414,0.00480718161687827,0.00749858358942304
4.95,-0.602553291603236,-0.672383065645684,0.163575469181141,-0.00662680768508099,0.00490956294495953,0.00758023030127084
5,-0.609894436969498,-0.684055520142814,0.194336168938897,-0.00686488961914187,0.00502021469023428,0.00765895376115448
5.05,-0.617021453467544,-0.695495812699904,0.225467598818895,-0.00709487078201254,0.00513446122035619,0.00773497873257503
5.1,-0.623973903149363,-0.706665867004338,0.256823372473306,-0.00731573008626741,0.00524591187264276,0.00780793684634056
5.15,-0.630782464209851,-0.717519948921431,0.288327942285477,-0.007526981946402,0.00535005141050588,0.0078774495405363
5.2,-0.637403774596428,-0.728011383805743,0.319874480667707,-0.00772827398044032,0.00544250673697177,0.00794306313427652
5.25,-0.643751019883595,-0.738086981965781,0.351405768697067,-0.00791921663089335,0.00552161870714691,0.00800408906026468
5.3,-0.649762934166326,-0.74772162502641,0.382947064302481,-0.008099033051711,0.00558930830021919,0.00806017151567951
5.35,-0.655372616649182,-0.756950883463243,0.414478775793161,-0.00826623126563552,0.00564738395654638,0.00811190544835641
5.4,-0.660533482255666,-0.765842943973815,0.446011774920404,-0.008418967681378,0.00569917831252198,0.00816044986163846
5.45,-0.665258839611333,-0.774439811338344,0.477614293156907,-0.00855582198489978,0.00574963581610372,0.00820655374612086
5.5,-0.669565871194727,-0.782740417655073,0.509281030703538,-0.00867616044714944,0.00580144465831212,0.00825029414063679
5.55,-0.673474688520798,-0.790723715807907,0.541000051495143,-0.00878001832377788,0.00585665528685898,0.00829143584461625
5.6,-0.677038275840587,-0.798366060085602,0.572764145528887,-0.00886783589154221,0.00591608538849888,0.00832975409455817
5.65,-0.680277834753681,-0.805638470473666,0.604473055951239,-0.00894027934261791,0.00597676392415274,0.00836496394800889
5.7,-0.683223394260636,-0.812503507680267,0.636035712190149,-0.00899823589767693,0.00603494779089355,0.00839657863264
5.75,-0.685903336216271,-0.81891735989463,0.667367996259772,-0.00904278849861357,0.0060861855264641,0.00842399464850276
5.8,-0.688298196229333,-0.824837984542939,0.698320263432733,-0.00907509122694241,0.00612472641060542,0.00844663984176179
5.85,-0.690383679390549,-0.830240290643659,0.728821070770639,-0.00909622691983797,0.00614786364708716,0.00846426040663725
5.9,-0.692099560643094,-0.835121592626985,0.758850303929269,-0.00910706007378534,0.00615533194586303,0.00847698322856576
5.95,-0.693383125935271,-0.839488151283249,0.788372730811475,-0.00910833444339198,0.00614838906100518,0.00848501436111881
6,-0.694192241446225,-0.8433363063258,0.817445497309646,-0.00910090988256716,0.00613153413716599,0.00848835579397175
6.05,-0.694532955308908,-0.84665969294711,0.846102336701652,-0.00908570904216667,0.00610889208549963,0.00848700131375243
6.1,-0.694422140533603,-0.849461722754332,0.874337130215199,-0.00906356737639686,0.00608341104636537,0.00848109243175665
6.15,-0.693904415294304,-0.851744050156606,0.902187813045977,-0.00903539716885772,0.00605812974271073,0.00847075390411929
6.2,-0.69300858556695,-0.853478207855463,0.929619912007471,-0.00900243739387867,0.00603346010714574,0.00845554266155646
6.25,-0.691769185166443,-0.85460017273013,0.956568976082906,-0.00896632660146808,0.00600823081430279,0.00843440173267316
6.3,-0.690199098013573,-0.855048911858112,0.982981832751488,-0.00892871255697274,0.00598050486287147,0.00840642190564882
6.35,-0.688283556806817,-0.854791898098189,1.00875083795445,-0.00889074483895779,0.00594627487216939,0.00837118915347832
6.4,-0.685999354699035,-0.853811107773497,1.03378547035518,-0.00885303406831532,0.00590205185920871,0.00832857854549378
6.45,-0.683297431645521,-0.852102618110471,1.05803922342276,-0.00881561141662576,0.00584554493971981,0.00827862352220369
6.5,-0.680155888355002,-0.849693527819133,1.08143652028539,-0.00877780807371974,0.00577479850718241,0.00822171926105728
6.55,-0.676540436559904,-0.846635821642641,1.10395854482866,-0.0087384578105911,0.0056903721490613,0.00815856905992991
6.6,-0.672443931718796,-0.842983601263096,1.12562869547154,-0.00869626545330851,0.00559486452098634,0.00808990941285935
6.65,-0.667859960956513,-0.838766509113712,1.14646374528465,-0.00865022607619528,0.00549150266693132,0.0080160607622963
6.7,-0.662811920657262,-0.833971121275694,1.16652218876578,-0.00860002126138265,0.00538458299410269,0.00793669858171963
6.75,-0.657343246470447,-0.828546263444452,1.18582413695125,-0.00854586749951103,0.00527703915662696,0.00785104462881582
6.8,-0.651505351608755,-0.82244717434879,1.20433301928394,-0.00848797915191917,0.00516954520066124,0.00775849568288883
6.85,-0.645330776052737,-0.815661502769803,1.22203226966527,-0.00842602111539067,0.0050622405780128,0.00765902657629089
6.9,-0.638823245919468,-0.808204411175494,1.23887586233962,-0.00835894901980774,0.004953396330618,0.00755293708677426
6.95,-0.631982433976311,-0.800106365752815,1.25477098487994,-0.00828518983482214,0.00483982506838368,0.00744059334950945
7,-0.624764782965919,-0.791405120320653,1.26965709512349,-0.00820291476953702,0.00471910486772003,0.00732237808029482
7.05,-0.617128063563969,-0.782148734523971,1.28346264204318,-0.00811020982608151,0.00458891995596231,0.00719884486266255
7.1,-0.609022522565646,-0.77238604028826,1.29614052404721,-0.00800530831237354,0.00444811565818401,0.00707064274965486
7.15,-0.600406809160753,-0.762148963145515,1.30771627970227,-0.00788693289174677,0.00429788836268078,0.00693820870190329
7.2,-0.591292969681299,-0.751444889115409,1.3181906967177,-0.00775438860899962,0.00413942405558592,0.00680165099963461
7.25,-0.581692637667928,-0.740269463264508,1.3275706523333,-0.00760742364802764,0.00397474714429885,0.00666095704157162
7.3,-0.57165744494165,-0.728618109223254,1.33592016136948,-0.00744599032643565,0.00380746529419658,0.00651614351306201
7.35,-0.56123323774193,-0.716488575236417,1.34326046896901,-0.00727003446920363,0.00363988792494536,0.0063672145679893
7.4,-0.550463942905737,-0.703876293139447,1.34959731236327,-0.00707950403061335,0.00347389185890303,0.00621402454117423
7.45,-0.539396407632857,-0.690778155247093,1.35495014388967,-0.00687436574468922,0.00331070039734231,0.00605634870402223
7.5,-0.528046927203967,-0.677210307528405,1.35925844765145,-0.00665445932039276,0.00314867614217217,0.00589428287510929
7.55,-0.516412837572682,-0.663208706361432,1.36246521721806,-0.00641958097308053,0.00298591333347577,0.00572829302243914
7.6,-0.504476963532354,-0.64881419413221,1.36454959556999,-0.0061696120901765,0.0028205746631495,0.00555906575853939
7.65,-0.492190084099654,-0.634057529132213,1.36542475552634,-0.00590486061757396,0.00264983482710684,0.00538718374412767
7.7,-0.479518719164566,-0.618937721999367,1.36506675687336,-0.00562625657141807,0.00247261189574447,0.00521271340643521
7.75,-0.466444885118313,-0.603435408666894,1.36348033298254,-0.00533519387636925,0.00228898074368732,0.00503543012158728
7.8,-0.452954853448709,-0.587542255237095,1.36065511008293,-0.0050331955416394,0.00209935120915033,0.00485522564426378
7.85,-0.439068500733975,-0.571255689188297,1.35664850686541,-0.00472170966690887,0.0019061014079591,0.00467203756149052
7.9,-0.424846988209027,-0.554573660500444,1.35149769018197,-0.00440222184153039,0.001711555385639,0.00448574527101632
