Time,X,Y,Z,RX,RY,RZ
0,16.98526242,0,10.25623606,0,0,0
0.05,16.98546258,0.000206361,10.25603302,0.000474637,-0.000223278,-0.000198181
0.1,16.98612209,0.000872572,10.25548943,0.001929755,-0.000878122,-0.000841148
0.15,16.98721504,0.001975996,10.25458656,0.004356205,-0.001990002,-0.001894273
0.2,16.98870975,0.003506355,10.25329993,0.007727962,-0.003598334,-0.003343104
0.25,16.99057597,0.005452004,10.25162523,0.012009341,-0.005664685,-0.005171573
0.3,16.99278347,0.007795519,10.249543,0.017160749,-0.00821728,-0.007352547
0.35,16.99531352,0.010530658,10.24703455,0.023125858,-0.011250789,-0.009870715
0.4,16.99815462,0.013659839,10.24409193,0.029831691,-0.014693163,-0.012721714
0.45,17.00129235,0.017181229,10.24069141,0.037202209,-0.018541738,-0.01589569
0.5,17.00471808,0.02109264,10.23681568,0.045160658,-0.022770297,-0.019381516
0.55,17.0084246,0.025392822,10.23245901,0.05363077,-0.027302364,-0.023169899
0.6,17.01239897,0.030072346,10.22760049,0.062545997,-0.032132616,-0.027242606
0.65,17.01663397,0.035114568,10.22222502,0.071850327,-0.037213777,-0.031572811
0.7,17.02113537,0.040502537,10.21632467,0.081491565,-0.04242057,-0.036136468
0.75,17.0258974,0.046220537,10.20987569,0.091418257,-0.047715644,-0.040915491
0.8,17.03086536,0.052253018,10.2028824,0.101580724,-0.053139999,-0.045890787
0.85,17.03596435,0.058581754,10.19536063,0.111933826,-0.058780067,-0.051036107
0.9,17.04114686,0.065187259,10.1873039,0.122434728,-0.064696516,-0.05632486
0.95,17.04638841,0.072055415,10.17871438,0.133037285,-0.070857909,-0.061742635
1,17.05167028,0.079175435,10.16958919,0.143695839,-0.077223511,-0.067281565
1.05,17.05698671,0.086528456,10.15991752,0.154376674,-0.083765639,-0.072921434
1.1,17.06233914,0.094087486,10.14969721,0.165059362,-0.090393845,-0.078632415
1.15,17.06772757,0.101828212,10.13892468,0.175729134,-0.09703626,-0.084392512
1.2,17.0731448,0.109725886,10.12758982,0.186378216,-0.103666778,-0.090180725
1.25,17.07857643,0.117745374,10.11569913,0.197012604,-0.110214447,-0.095961678
1.3,17.08400374,0.125849225,10.10325189,0.207646057,-0.116657499,-0.101697532
1.35,17.08941089,0.134006885,10.09024881,0.218290387,-0.122973671,-0.107360531
1.4,17.0947806,0.142187246,10.07670069,0.228957447,-0.129091773,-0.112922918
1.45,17.10008839,0.150357224,10.0626061,0.239660375,-0.13501433,-0.118356717
1.5,17.10529682,0.158492472,10.047978,0.250405433,-0.140765025,-0.123646233
1.55,17.11035693,0.166571967,10.03284014,0.261195379,-0.146379217,-0.128777192
1.6,17.11523417,0.174565794,10.01720189,0.272040309,-0.151919838,-0.13372112
1.65,17.11991125,0.182443893,10.00107548,0.282952407,-0.157366944,-0.138449927
1.7,17.12438528,0.190183686,9.984472436,0.293937703,-0.162665457,-0.142946939
1.75,17.12866348,0.197759298,9.967391315,0.305003489,-0.167783795,-0.147190954
1.8,17.13275161,0.205138644,9.949842197,0.316162011,-0.172638774,-0.151149857
1.85,17.13665397,0.212293082,9.931838044,0.327421651,-0.177163333,-0.154795606
1.9,17.14035618,0.219200811,9.913381734,0.338779979,-0.181358596,-0.158111061
1.95,17.14383662,0.225843986,9.894496308,0.35022506,-0.185193665,-0.161083008
2,17.14706651,0.232207467,9.875200489,0.361737356,-0.188685056,-0.163697442
2.05,17.15001705,0.238279688,9.855509392,0.373289476,-0.191871518,-0.165941944
2.1,17.15266374,0.244053427,9.835451101,0.384845461,-0.194739682,-0.167809223
2.15,17.15498068,0.249524206,9.815046491,0.396364145,-0.197320618,-0.16929554
2.2,17.15694194,0.254686085,9.794312844,0.407804084,-0.199664899,-0.170395004
2.25,17.15852737,0.25953182,9.773285438,0.419124021,-0.201781827,-0.171099593
2.3,17.1597168,0.264054796,9.75198444,0.43028273,-0.203711211,-0.171401452
2.35,17.16050879,0.268246214,9.730428557,0.441240698,-0.205454686,-0.17128832
2.4,17.16091054,0.272096333,9.708642281,0.451957102,-0.206946813,-0.170746628
2.45,17.16093359,0.27560252,9.686639284,0.462382617,-0.208150777,-0.169772962
2.5,17.16058655,0.278768308,9.664434695,0.472460121,-0.209022001,-0.168370282
2.55,17.15987087,0.281595565,9.642058744,0.482132094,-0.209493705,-0.166536112
2.6,17.15877072,0.284086291,9.619528711,0.491342037,-0.20958627,-0.164268566
2.65,17.15726594,0.286248319,9.596872682,0.500031118,-0.209321118,-0.16157679
2.7,17.15532627,0.288089881,9.574127378,0.508144401,-0.208716356,-0.158471286
2.75,17.15293014,0.289609382,9.55131871,0.515641625,-0.207838229,-0.154947969
2.8,17.15006169,0.290798361,9.528477638,0.522495991,-0.206706871,-0.150994067
2.85,17.14671659,0.291651328,9.505638733,0.528684439,-0.205321611,-0.146603516
2.9,17.14288623,0.292165133,9.482822145,0.534185158,-0.203723628,-0.141774963
2.95,17.13857635,0.292334017,9.460059559,0.538981008,-0.201899398,-0.136502594
3,17.13379272,0.292152759,9.437381213,0.543057281,-0.199822076,-0.130780739
3.05,17.12854685,0.291620549,9.41480438,0.546399581,-0.197485649,-0.124609982
3.1,17.1228517,0.290735744,9.39235787,0.548997374,-0.194827682,-0.117990696
3.15,17.1167188,0.289492968,9.370065433,0.550848605,-0.191797837,-0.110919807
3.2,17.11015533,0.287887226,9.347946526,0.551957573,-0.188380781,-0.103396073
3.25,17.10316132,0.285912284,9.326036405,0.552334127,-0.18453948,-0.095417048
3.3,17.09572523,0.283556826,9.304362452,0.55199852,-0.180294515,-0.086973626
3.35,17.08782834,0.28080841,9.282954166,0.550976304,-0.175697241,-0.078056522
3.4,17.07945914,0.277658146,9.261852608,0.549292347,-0.170774003,-0.068662852
3.45,17.07060467,0.274097734,9.241087999,0.546972512,-0.165572916,-0.05879003
3.5,17.06126923,0.270115609,9.220689867,0.544046217,-0.160120824,-0.048428288
3.55,17.05145716,0.26570007,9.200692056,0.540543686,-0.154404126,-0.037566651
3.6,17.0411843,0.260844323,9.181118319,0.536489848,-0.148418195,-0.026202612
3.65,17.03046504,0.255545105,9.161993855,0.531904274,-0.142139534,-0.014339013
3.7,17.0193109,0.249798365,9.143348908,0.526804851,-0.135527183,-0.001975831
3.75,17.00773341,0.243599358,9.125205079,0.521209277,-0.128562288,0.010889051
3.8,16.99573976,0.236945945,9.107588278,0.515131296,-0.121214405,0.024253687
3.85,16.98333716,0.229837856,9.090527322,0.508581843,-0.113460349,0.038113454
3.9,16.97052416,0.22227363,9.074045955,0.501571452,-0.105311924,0.052466497
3.95,16.95729932,0.214251824,9.058176579,0.49410888,-0.096777574,0.067312929
4,16.94365545,0.205772126,9.042950165,0.486200327,-0.087887618,0.082652216
4.05,16.92958822,0.196834804,9.028394063,0.477848909,-0.078700128,0.098483165
4.1,16.91509476,0.18744185,9.014542112,0.469051885,-0.069243558,0.114801866
4.15,16.90017937,0.177599722,9.001422389,0.459798005,-0.059541914,0.131598069
4.2,16.88485647,0.1673195,8.989057227,0.450067294,-0.049604935,0.148857305
4.25,16.86914334,0.156613087,8.977472534,0.439835634,-0.039396869,0.166567352
4.3,16.85306158,0.145492026,8.966687036,0.429076663,-0.028889292,0.184717209
4.35,16.83662701,0.133971436,8.956720164,0.417760402,-0.018053283,0.203289893
4.4,16.8198526,0.122067989,8.94759425,0.40585563,-0.00684267,0.222266289
4.45,16.80274412,0.109792441,8.939328728,0.393338476,0.004744114,0.241635909
4.5,16.78530301,0.097151182,8.931943755,0.380191893,0.016704898,0.261393175
4.55,16.76753069,0.084153969,8.925464539,0.366398963,0.029041268,0.281526061
4.6,16.74942862,0.070811987,8.919909789,0.351942672,0.04171227,0.302019295
4.65,16.73099823,0.057133807,8.915302553,0.336808684,0.054689564,0.322861848
4.7,16.71224528,0.043130166,8.911666584,0.320981886,0.067953597,0.344041566
4.75,16.6931741,0.028816078,8.909018451,0.304444705,0.081456556,0.365540563
4.8,16.67379908,0.014206473,8.90737759,0.287180405,0.095192896,0.387340173
4.85,16.65413607,-0.00068444,8.906760554,0.269176367,0.109175451,0.409421449
4.9,16.63420521,-0.01584263,8.90717815,0.250425673,0.12341084,0.431764294
4.95,16.61402811,-0.031258492,8.908641171,0.230931299,0.137942869,0.454353313
5,16.59362063,-0.046929124,8.911160431,0.210709199,0.152806907,0.477181403
5.05,16.57299714,-0.062854025,8.914742397,0.189784131,0.168008515,0.50024289
5.1,16.5521663,-0.079031065,8.919400752,0.168183003,0.183566359,0.523528551
5.15,16.53112665,-0.095456621,8.925147022,0.145933688,0.199462569,0.547027419
5.2,16.50987821,-0.112126423,8.931989121,0.123065877,0.215648515,0.57072952
5.25,16.48842241,-0.129035274,8.939941445,0.099610207,0.232095781,0.594623887
5.3,16.46676357,-0.146175828,8.949014797,0.075597482,0.248762811,0.618694501
5.35,16.44491033,-0.163539794,8.959215664,0.051060853,0.265603349,0.642923105
5.4,16.42287566,-0.181123076,8.970552682,0.02604039,0.282606455,0.667298041
5.45,16.40067394,-0.198926722,8.983030161,0.000584442,0.299755489,0.691815072
5.5,16.37832391,-0.216951237,8.996648117,-0.025256174,0.317044001,0.716468528
5.55,16.3558414,-0.235194292,9.011409419,-0.051432409,0.334497543,0.741248375
5.6,16.33324225,-0.253654492,9.02731119,-0.077895052,0.352124342,0.766147008
5.65,16.31054374,-0.272330713,9.044348387,-0.104595478,0.369931128,0.791157635
5.7,16.28775596,-0.291218185,9.062520301,-0.131489253,0.387933109,0.816269598
5.75,16.26488609,-0.310310247,9.081822605,-0.158534917,0.40610785,0.841470122
5.8,16.2419399,-0.329600915,9.102250974,-0.185692963,0.424422098,0.866747303
5.85,16.21892028,-0.349081076,9.123805407,-0.212928523,0.442840145,0.892085933
5.9,16.19582865,-0.368738558,9.146479442,-0.240211151,0.461297704,0.917468003
5.95,16.17267223,-0.388563191,9.170268021,-0.267511075,0.479747319,0.942879988
6,16.14946541,-0.40854611,9.195166825,-0.294799189,0.498157637,0.968311043
6.05,16.1262197,-0.428674827,9.221162907,-0.322051092,0.51649532,0.993745464
6.1,16.10295384,-0.448935393,9.248245455,-0.349246533,0.534756407,1.019166361
6.15,16.07968222,-0.469316649,9.276401507,-0.376365128,0.552941524,1.044563139
6.2,16.05642211,-0.489806983,9.305613079,-0.403388278,0.571046492,1.069924517
6.25,16.03318505,-0.510390241,9.335865034,-0.430304418,0.589083593,1.095233856
6.3,16.00998686,-0.531048333,9.367139382,-0.457107444,0.607049208,1.120470652
6.35,15.98683332,-0.55176155,9.399415965,-0.483795266,0.62492614,1.145613091
6.4,15.96373738,-0.572508157,9.432677493,-0.510369224,0.642695939,1.170638862
6.45,15.94070479,-0.593266374,9.466905252,-0.536831251,0.660318281,1.195526029
6.5,15.91774709,-0.614014555,9.502078366,-0.563182376,0.677748858,1.220252277
6.55,15.89487434,-0.634731823,9.538179554,-0.589421132,0.69494909,1.244796295
6.6,15.87209663,-0.65540094,9.575185043,-0.615540541,0.711870366,1.269141378
6.65,15.84942836,-0.676007598,9.613071813,-0.641529072,0.728482895,1.293273319
6.7,15.82688681,-0.696537217,9.651815373,-0.667373389,0.744776894,1.317177283
6.75,15.80448782,-0.716974407,9.691388363,-0.693060154,0.760742702,1.340835821
6.8,15.78224723,-0.737302247,9.731761989,-0.718578523,0.776385991,1.364228989
6.85,15.76017943,-0.757500804,9.772906724,-0.743918961,0.791713179,1.387333478
6.9,15.73829451,-0.777551357,9.814789455,-0.76906944,0.806716538,1.41012835
6.95,15.71660544,-0.797438022,9.857381379,-0.794012197,0.821395197,1.432596276
7,15.69512372,-0.817145948,9.900652254,-0.81872486,0.835732577,1.454718811
7.05,15.67385511,-0.836661186,9.944567524,-0.843179506,0.849691784,1.476476883
7.1,15.65281547,-0.855973926,9.989096228,-0.867341798,0.863246829,1.497856158
7.15,15.63201775,-0.875077059,10.03420669,-0.891171287,0.876366861,1.518845543
7.2,15.61147634,-0.893963022,10.07986362,-0.914625407,0.889014986,1.539432323
7.25,15.59120853,-0.912624079,10.12603464,-0.937661217,0.901177682,1.559603162
7.3,15.57122871,-0.931053387,10.17268444,-0.960235217,0.912838056,1.579346469
7.35,15.55155273,-0.949243388,10.21977416,-0.982303655,0.923985578,1.598650401
7.4,15.53219499,-0.967185801,10.26726852,-1.003823654,0.93463589,1.617501746
7.45,15.51316989,-0.984873426,10.31512936,-1.024751153,0.944793791,1.63588804
7.5,15.49448895,-1.002299244,10.36331419,-1.045042026,0.954462834,1.653795821
7.55,15.47616368,-1.019455603,10.41178629,-1.064652647,0.963656853,1.671210005
7.6,15.45820272,-1.036337376,10.46050536,-1.083537522,0.972362449,1.688120126
7.65,15.44061761,-1.052941592,10.50942962,-1.101650219,0.980564355,1.704519201
7.7,15.42341841,-1.069263839,10.55852309,-1.118946241,0.988253158,1.7204
7.75,15.40661808,-1.08529845,10.60774255,-1.135386075,0.995398384,1.735754548
