Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 ANCHTEN1	 ANCHTEN2	 ANCHTEN3	 CON1FX	 CON3FX	 CON5FX	 CON1FY	 CON3FY	 CON5FY	 CON1FZ	 CON3FZ	 CON5FZ	 CON2FX	 CON4FX	 CON6FX	 CON2FY	 CON4FY	 CON6FY	 CON2FZ	 CON4FZ	 CON6FZ	 L1N1FX	 L1N2FX	 L3N1FX	 
(s)	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 (N)     	 
0	 1.45326e+006	 1.45345e+006	 1.45345e+006	 896351	 896539	 896539	 899920	 -450051	 -450051	 0	 779518	 -779518	 -1.1411e+006	 -1.14119e+006	 -1.14119e+006	 -896210	 448196	 448196	 0	 -776305	 776305	 -15901.3	 -15901.4	 -15901.4	 -1.6392	 -3.27673	 0.81963	 
0.05	 1.44324e+006	 1.4491e+006	 1.44604e+006	 897113	 897307	 897307	 893570	 -448881	 -447819	 -96.576	 776974	 -775723	 -1.13335e+006	 -1.13785e+006	 -1.13522e+006	 -896972	 448580	 448580	 0	 -776970	 776970	 -15901.8	 -15901.9	 -15901.9	 -1.23131	 -2.46155	 0.611332	 
0.1	 1.44015e+006	 1.44782e+006	 1.44392e+006	 898101	 898298	 898298	 891537	 -448614	 -447210	 -172.86	 776109	 -774724	 -1.13101e+006	 -1.13691e+006	 -1.13345e+006	 -897960	 449076	 449076	 0	 -777829	 777829	 -15902.5	 -15902.6	 -15902.6	 -0.634478	 -1.2687	 0.310217	 
0.15	 1.43222e+006	 1.44441e+006	 1.43834e+006	 899201	 899399	 899399	 886340	 -447979	 -445649	 -394.518	 773807	 -772183	 -1.12501e+006	 -1.1344e+006	 -1.1287e+006	 -899060	 449627	 449627	 0	 -778783	 778783	 -15903.3	 -15903.4	 -15903.4	 0.00578046	 0.0112641	 -0.0103095	 
0.2	 1.42341e+006	 1.44021e+006	 1.43181e+006	 900294	 900491	 900491	 880500	 -447254	 -443858	 -699.889	 770915	 -769299	 -1.1184e+006	 -1.13131e+006	 -1.12306e+006	 -900154	 450173	 450173	 0	 -779728	 779728	 -15904	 -15904.1	 -15904.1	 0.555091	 1.10925	 -0.283481	 
0.25	 1.41662e+006	 1.43617e+006	 1.42617e+006	 901275	 901471	 901470	 875866	 -446628	 -442365	 -1036.2	 768058	 -766949	 -1.11341e+006	 -1.12836e+006	 -1.11807e+006	 -901135	 450663	 450662	 0	 -780577	 780576	 -15904.7	 -15904.8	 -15904.8	 1.65068	 3.38354	 -0.736495	 
0.3	 1.41214e+006	 1.43245e+006	 1.42192e+006	 901427	 901989	 901785	 872646	 -446085	 -441291	 -1377.08	 765369	 -765337	 -1.11024e+006	 -1.12567e+006	 -1.11417e+006	 -901287	 450922	 450819	 0	 -781026	 780849	 -15904.8	 -15905.2	 -15905	 30.6121	 61.2443	 -11.5585	 
0.35	 1.4099e+006	 1.42924e+006	 1.41954e+006	 896206	 900008	 897983	 870816	 -445652	 -440775	 -1704.68	 762990	 -764683	 -1.10882e+006	 -1.12338e+006	 -1.11179e+006	 -896065	 449931	 448918	 3.2871e-313	 -779310	 777556	 -15901.1	 -15903.8	 -15902.4	 6.01754	 12.0958	 -3.36986	 
0.4	 1.4093e+006	 1.42637e+006	 1.41899e+006	 888908	 896971	 892550	 870026	 -445261	 -440799	 -2009.72	 760845	 -764953	 -1.10868e+006	 -1.12134e+006	 -1.11089e+006	 -888766	 448412	 446201	 5.7327e-301	 -776679	 772850	 -15896	 -15901.6	 -15898.5	 46.0615	 91.565	 -12.3375	 
0.45	 1.40939e+006	 1.42362e+006	 1.41997e+006	 874378	 891478	 882995	 869688	 -444845	 -441264	 -2289.83	 758803	 -765985	 -1.10907e+006	 -1.11938e+006	 -1.11125e+006	 -874234	 445665	 441423	 2.29563e-290	 -771921	 764574	 -15885.8	 -15897.8	 -15891.9	 17.6407	 35.5379	 -8.6721	 
0.5	 1.40945e+006	 1.42082e+006	 1.42207e+006	 856847	 884044	 870485	 869351	 -444377	 -442051	 -2548.37	 756775	 -767573	 -1.1094e+006	 -1.11739e+006	 -1.11252e+006	 -856700	 441948	 435167	 4.45075e-281	 -765483	 753738	 -15873.6	 -15892.6	 -15883.1	 -33.1045	 -65.7813	 6.19853	 
0.55	 1.40907e+006	 1.41783e+006	 1.42467e+006	 844732	 876973	 860024	 868756	 -443824	 -442984	 -2791.75	 754659	 -769410	 -1.10938e+006	 -1.11524e+006	 -1.11421e+006	 -844583	 438412	 429936	 8.88362e-273	 -759358	 744677	 -15865.2	 -15887.7	 -15875.9	 -23.881	 -47.7329	 8.00568	 
0.6	 1.40786e+006	 1.41467e+006	 1.42725e+006	 837083	 870624	 852379	 867664	 -443203	 -443897	 -3025.43	 752453	 -771219	 -1.1087e+006	 -1.11296e+006	 -1.11589e+006	 -836932	 435237	 426113	 3.02782e-265	 -753858	 738055	 -15860	 -15883.3	 -15870.6	 -17.128	 -34.1708	 5.91904	 
0.65	 1.40471e+006	 1.41115e+006	 1.42881e+006	 832546	 864660	 846979	 865385	 -442465	 -444497	 -3249.92	 750066	 -772477	 -1.10649e+006	 -1.11039e+006	 -1.11678e+006	 -832395	 432255	 423413	 2.44724e-258	 -748693	 733378	 -15856.9	 -15879.2	 -15866.9	 -12.2236	 -24.3593	 5.80244	 
0.7	 1.39773e+006	 1.40655e+006	 1.42767e+006	 830142	 858720	 843833	 860741	 -441376	 -444257	 -3459.67	 747116	 -772263	 -1.10126e+006	 -1.10698e+006	 -1.11556e+006	 -829991	 429284	 421839	 5.94799e-252	 -743547	 730653	 -15855.3	 -15875.1	 -15864.8	 -4.77582	 -9.49973	 8.35597	 
