t,f1,f2,f3
0,1458.53127827071,1464.65480690004,1461.58806113409
0.05,1458.52339676174,1464.65153298578,1461.58266101084
0.1,1458.4728360132,1464.63024278257,1461.5476443816
0.15,1458.31529793861,1464.56231283854,1461.43697091237
0.2,1457.98485563389,1464.41453769212,1461.20032385267
0.25,1457.44042246245,1464.15875317613,1460.80128672757
0.3,1456.67138364199,1463.77512763101,1460.22425256853
0.35,1455.69235225348,1463.25214841673,1459.47532788687
0.4,1454.53388855825,1462.5846199181,1458.57952811569
0.45,1453.23174373995,1461.77086400911,1457.57520055074
0.5,1451.81861680592,1460.81051618103,1456.50736182067
0.55,1450.31934671178,1459.70320097895,1455.42079005084
0.6,1448.74587355444,1458.44775603223,1454.35276364472
0.65,1447.08735708129,1457.03963073689,1453.32299136423
0.7,1445.30239658124,1455.46764724296,1452.32500055934
0.75,1443.32343918877,1453.71343240555,1451.32559680248
0.8,1441.07409235397,1451.75197673129,1450.26976388944
0.85,1438.50425669011,1449.55648383969,1449.09574771203
0.9,1435.62693466907,1447.10948077844,1447.76095757758
0.95,1432.5211313832,1444.41068553987,1446.25888214617
1,1429.30334932867,1441.47721818173,1444.61900650618
1.05,1426.09452956676,1438.34082440244,1442.8996001446
1.1,1422.99497063962,1435.04427604255,1441.17752942533
1.15,1420.07034312349,1431.63683220044,1439.53411398898
1.2,1417.34928078651,1428.17059646922,1438.04067352047
1.25,1414.82967462909,1424.69872775808,1436.74793186271
1.3,1412.48772761997,1421.27424904318,1435.67952710398
1.35,1410.28447958613,1417.94838379857,1434.82945790395
1.4,1408.1724356581,1414.76687294861,1434.1631457032
1.45,1406.11094773381,1411.76384252495,1433.6211574246
1.5,1404.09039389864,1408.95722611529,1433.12679421395
1.55,1402.15113942685,1406.3513735943,1432.60079478593
1.6,1400.38200484259,1403.94724752261,1431.98193997922
1.65,1398.89526669357,1401.75346979305,1431.24358328637
1.7,1397.78939379846,1399.79154412681,1430.3961467116
1.75,1397.11595766963,1398.09498195723,1429.47635416705
1.8,1396.86256661372,1396.70441977299,1428.53062982801
1.85,1396.95623255567,1395.65931420132,1427.59811396228
1.9,1397.28422672353,1394.98881003752,1426.69705562851
1.95,1397.72294180132,1394.70556652716,1425.81798158929
2,1398.16313845916,1394.80330273368,1424.92515674714
2.05,1398.52483342541,1395.25679179717,1423.96493992629
2.1,1398.76378780552,1396.02247707749,1422.87639022337
2.15,1398.87626996713,1397.03891371085,1421.60049631423
2.2,1398.90404957274,1398.22934973893,1420.08890838318
2.25,1398.9315907514,1399.50970387243,1418.3137491232
2.3,1399.06581512122,1400.80198385031,1416.27772011538
2.35,1399.40102516934,1402.0478681651,1414.02091865911
2.4,1399.98394913833,1403.21547512599,1411.61886489616
2.45,1400.79399607241,1404.29734482954,1409.16987707109
2.5,1401.74629598479,1405.3018199264,1406.77627621821
2.55,1402.71719935395,1406.23991417598,1404.52575598005
2.6,1403.58350347452,1407.11193422816,1402.47829648147
2.65,1404.26054782627,1407.89984361554,1400.66178241167
2.7,1404.72564486102,1408.56771664965,1399.07602761048
2.75,1405.02094110241,1409.06893443502,1397.70325472968
2.8,1405.2394969595,1409.35618978759,1396.52091091388
2.85,1405.50453617344,1409.38989590092,1395.51158568829
2.9,1405.94649725579,1409.14473073185,1394.66907490105
2.95,1406.67878954268,1408.61592647772,1394.00238207163
3,1407.78310351102,1407.82482599002,1393.53788397636
3.05,1409.29728916007,1406.82193247801,1393.31872511758
3.1,1411.19506965392,1405.68360609299,1393.39943212761
3.15,1413.38221560877,1404.49457856404,1393.83428869996
3.2,1415.72057451356,1403.33560048055,1394.66170440196
3.25,1418.06709988568,1402.28538455209,1395.88937228103
3.3,1420.31619900784,1401.40751749545,1397.48556874512
3.35,1422.42981210396,1400.73496207643,1399.38068395575
3.4,1424.44398809544,1400.27387304655,1401.47833215679
3.45,1426.45501191125,1400.01679294012,1403.67193992488
3.5,1428.59166466766,1399.957039288,1405.8626055959
3.55,1430.97762897692,1400.09729326328,1407.97335876721
3.6,1433.69627757096,1400.449923315,1409.95635094204
3.65,1436.77064671981,1401.0375178957,1411.79356994228
3.7,1440.16083800495,1401.89795281658,1413.49291470512
3.75,1443.77245624284,1403.08264712955,1415.0808022502
3.8,1447.4691214439,1404.6432389267,1416.59218622384
3.85,1451.09242190459,1406.61598505389,1418.05865341091
3.9,1454.49392648654,1409.01226540511,1419.49665784797
3.95,1457.57180249586,1411.81634454992,1420.89921476826
4,1460.29917801573,1414.98515832966,1422.23407451764
4.05,1462.73356341721,1418.44941239019,1423.45090968074
4.1,1465.00192851993,1422.12188839723,1424.49682730997
4.15,1467.2652506494,1425.91293260335,1425.33466927874
4.2,1469.6738496073,1429.74607180683,1425.95562476801
4.25,1472.32669607428,1433.56689535576,1426.38582541803
4.3,1475.24659294044,1437.34309593752,1426.6898110614
4.35,1478.37873277284,1441.05991777122,1426.96301474456
4.4,1481.61078977198,1444.71540604963,1427.31367727031
4.45,1484.80432392708,1448.31423401178,1427.84476136928
4.5,1487.82724388072,1451.85842362933,1428.63984250218
4.55,1490.58211552829,1455.33791242697,1429.75320067584
4.6,1493.0281446734,1458.72584960933,1431.20448895143
4.65,1495.19425907818,1461.98031760487,1432.97852355122
