t,f1,f2,f3,fx,fy,fz,frx,fry,frz
0,1458.53127827071,1464.65480690004,1461.58806113409,-3.12943651652255,1.15369907801482,-3406.42463638022,-111.943955276549,78523.1902301362,37.1805795305558
0.05,1455.44113895472,1463.37118834534,1459.47081008095,-4.287500457038,1.21151128298498,-3401.37272461156,-150.412275112517,78364.0965619236,47.1207505327249
0.1,1447.5212240327,1459.96852757694,1453.89764109884,-7.28759418939106,1.22995681192691,-3388.10234140543,-254.565628055289,77956.7221598024,73.5536130763311
0.15,1438.73592329177,1455.77744700803,1447.37152788055,-10.6116830393951,0.916481227916898,-3372.76016591076,-377.310297214963,77511.5965386816,101.86965741122
0.2,1431.9745002079,1451.75440338664,1441.7431408946,-13.1264893445118,0.0730102257959079,-3359.83921611196,-481.862828850545,77181.4975436388,121.283514490361
0.25,1427.52027920348,1448.04880260081,1437.50272088675,-14.731056587949,-1.3451200617057,-3350.08616151242,-553.213768711276,76978.8905067936,127.776657823018
0.3,1425.30162283164,1444.85519718142,1435.13257613848,-15.6099814346295,-3.397705141944,-3343.98386394201,-579.421065358959,76898.1107570881,117.713481725274
0.35,1424.72454082147,1442.00016333204,1434.59292733108,-16.0346449928513,-6.1181359733307,-3340.9109638468,-554.953191893295,76906.0818181404,89.6658846746106
0.4,1424.82992141027,1439.2539885413,1435.57772283552,-16.4218184278085,-9.47214426249464,-3339.69313476119,-482.305037194714,76949.4939656434,45.0990225463021
0.45,1424.89562711879,1436.47203970125,1437.67279091745,-17.0772268039139,-13.3467122361638,-3339.31275466433,-370.932849577963,76989.2483373872,-12.4161400477448
0.5,1424.51629199846,1433.49233841629,1440.27322261921,-18.0518512536819,-17.5432918971886,-3338.8385434364,-236.023852485247,77003.8798252112,-77.4412241013851
0.55,1423.30581096591,1430.33358427787,1442.83462841986,-19.436108253536,-21.7908523982617,-3337.54843694442,-96.3222420674935,76972.2505285697,-143.112085177101
0.6,1420.14132396931,1426.81402598988,1444.36999765934,-21.577020119087,-25.6617075748963,-3333.65934826306,22.6023889040425,76834.0451147766,-199.694287758117
0.65,1413.13198890607,1422.21143702914,1443.19393824785,-24.8913088146885,-28.6070952800058,-3323.79632583305,90.9697103260159,76485.4765065369,-235.401912205338
0.7,1402.85915961769,1416.68102318632,1439.41839720582,-29.0756418987159,-30.5757127534549,-3308.58905203792,107.928544425704,75956.3582284027,-249.822181605404
