Time,X,Y,Z,Rotation 1,Rotation 2,Rotation 3
0,22.49799919,0,13.58500004,0,0,0
0.05,22.49826431,0.000273338,13.5847311,0.000453937,-0.000213541,-0.000189538
0.1,22.49913788,0.001155774,13.58401108,0.001845596,-0.000839826,-0.000804464
0.15,22.50058556,0.002617325,13.58281517,0.004166225,-0.001903215,-0.001811661
0.2,22.50256538,0.004644377,13.58111095,0.007390935,-0.003441406,-0.003197307
0.25,22.50503731,0.007221507,13.57889271,0.011485598,-0.005417641,-0.004946034
0.3,22.50796127,0.010325632,13.57613468,0.016412346,-0.007858914,-0.007031893
0.35,22.51131248,0.013948489,13.57281208,0.022117309,-0.010760127,-0.00944024
0.4,22.51507568,0.018093277,13.56891441,0.028530691,-0.014052375,-0.012166903
0.45,22.5192318,0.022757569,13.56441021,0.035579771,-0.017733108,-0.015202458
0.5,22.52376938,0.027938467,13.55927658,0.043191142,-0.021777254,-0.018536262
0.55,22.52867889,0.033634316,13.5535059,0.051291861,-0.026111672,-0.022159429
0.6,22.53394318,0.039832626,13.5470705,0.059818283,-0.03073127,-0.02605452
0.65,22.53955269,0.046511352,13.53995037,0.068716839,-0.035590835,-0.030195879
0.7,22.54551506,0.05364804,13.53213501,0.07793761,-0.040570553,-0.034560509
0.75,22.55182266,0.061221875,13.52359295,0.087431386,-0.045634702,-0.039131112
0.8,22.55840302,0.069212258,13.51432991,0.097150654,-0.050822493,-0.043889429
0.85,22.56515694,0.077595048,13.50436687,0.107052244,-0.05621659,-0.048810355
0.9,22.57202148,0.086344436,13.49369526,0.117095187,-0.061875015,-0.053868458
0.95,22.57896423,0.095441721,13.48231792,0.127235353,-0.067767702,-0.059049957
1,22.58596039,0.104872614,13.47023106,0.137429073,-0.073855691,-0.064347327
1.05,22.59300232,0.114612132,13.45742035,0.147644103,-0.080112509,-0.069741234
1.1,22.60009193,0.124624521,13.44388294,0.157860905,-0.08645165,-0.075203151
1.15,22.60722923,0.134877577,13.42961407,0.168065354,-0.09280438,-0.080712043
1.2,22.61440468,0.14533852,13.41460037,0.178250015,-0.099145733,-0.086247824
1.25,22.6215992,0.155960813,13.39885044,0.188420624,-0.105407849,-0.091776662
1.3,22.62878799,0.16669485,13.38236332,0.198590338,-0.111569911,-0.097262368
1.35,22.63595009,0.177500159,13.36513996,0.208770454,-0.117610626,-0.102678396
1.4,22.64306259,0.188335538,13.34719467,0.21897231,-0.12346191,-0.1079982
