t,x,y,z,rx,ry,rz
0,-0.000000809999999518141,0,3.99999997569012e-8,0,0,0
0.05,0.000314941486564635,0.000455393261660969,-0.000352748790259483,0.0000079226952466255,-0.00000372699353800121,-0.00000330806215764501
0.1,0.00133700988076413,0.0019092651245348,-0.0013186709009112,0.0000322117268616373,-0.0000146577288438539,-0.0000140405455137637
0.15,0.00303684160457962,0.00431657806813394,-0.00293205920913131,0.0000727143436289008,-0.0000332173681233439,-0.000031619449379973
0.2,0.00538142322608692,0.00765243191652656,-0.00524006735120253,0.000128996150550887,-0.000060063865597888,-0.0000558035343470623
0.25,0.00832203321927949,0.0118873332333651,-0.00823388047256479,0.000200461501660476,-0.0000945556731410381,-0.0000863245782155852
0.3,0.0118250229912924,0.0169791043397821,-0.0119497577464394,0.000286449475676521,-0.000137163924931078,-0.000122729685497942
0.35,0.0158644402634138,0.0229010433643761,-0.0164103533580491,0.000386019863730975,-0.00018779964408274,-0.00016476327017847
0.4,0.0204087238535458,0.0296382422897505,-0.0215989815474114,0.000497954495819114,-0.000245260211474938,-0.000212352517120776
0.45,0.0254382421640997,0.0371674211642622,-0.0275459675934542,0.000620984151055595,-0.000309501121211747,-0.000265332946496152
0.5,0.0309356341213984,0.0454641836430734,-0.0342642364878447,0.000753827635596409,-0.000380084784343105,-0.000323518802912309
0.55,0.0368740639698544,0.0545061550647055,-0.0417325691884471,0.000895211853925271,-0.000455734649600813,-0.000386754996411915
0.6,0.0432352176040958,0.0642589834790712,-0.0499765214411543,0.00104402599123975,-0.000536361844819358,-0.000454737159026713
0.65,0.0499988473894852,0.074677904015362,-0.0589982513335752,0.00119933509211285,-0.000621177254284036,-0.000527017509083813
0.7,0.0571441911931601,0.0857195994217467,-0.0687611399629251,0.00136026790563526,-0.000708089729204863,-0.000603194673215133
0.75,0.0646551657319776,0.0973448131071562,-0.0792825628494178,0.00152596555528208,-0.000796475803066441,-0.000682966744366663
0.8,0.0724686343387226,0.109514564970192,-0.0905721303599005,0.0016955987827658,-0.00088701983692177,-0.000766015042870282
0.85,0.0805050518438186,0.122184712751558,-0.102641259277796,0.00186841412944834,-0.000981164589743719,-0.000851901403817277
0.9,0.0887152899366761,0.135309838263491,-0.115521255040145,0.00204369655138846,-0.00107992273647088,-0.00094018195507228
0.95,0.0970598353238614,0.148855389675092,-0.129197453706208,0.00222067583478724,-0.00118276952641035,-0.00103061617281107
1,0.105504668929907,0.162793770495802,-0.143658344304603,0.00239858981181364,-0.00128902497928554,-0.00112307272100745
1.05,0.114035887185352,0.177084763517445,-0.158907873229033,0.00257687571850364,-0.00139822705408359,-0.00121721415770381
1.1,0.122634855687686,0.191676713372154,-0.174914968624144,0.00275519255242798,-0.00150886593628176,-0.00131254259282447
1.15,0.131285250391763,0.206525736343896,-0.191657447988867,0.00293329378582982,-0.00161974199127198,-0.00140869089636124
1.2,0.139971590028651,0.221589367888107,-0.209138914520866,0.00311104965347928,-0.00173041948015319,-0.00150530850148059
1.25,0.148658636056975,0.236809057748118,-0.227324187194736,0.00328856026746225,-0.00183971402249501,-0.00160180492838996
1.3,0.157316601670189,0.252124072471391,-0.246206102042169,0.00346605526074841,-0.00194726229310704,-0.00169754855988637
1.35,0.165919424855517,0.267486152331833,-0.265775395487701,0.00364373180318337,-0.00205269265903165,-0.00179207608086658
1.4,0.174427952630545,0.282846243165781,-0.285991100721773,0.0038217877801977,-0.00215481683030091,-0.00188492417622734
1.45,0.182810295201211,0.298152972189706,-0.306856123079514,0.00400044245750535,-0.00225367692170968,-0.001975625865674
1.5,0.19102219723738,0.313369624500157,-0.328362219287063,0.00417980038032851,-0.00234966828524012,-0.00206391915783254
1.55,0.199006814582123,0.32846364711579,-0.350491227341742,0.00435990757299955,-0.00244338112143208,-0.00214956579780678
1.6,0.206732654053035,0.343387106175528,-0.373254414661918,0.00454093256451104,-0.00253586589160245,-0.0022320904975348
1.65,0.214172234052452,0.358092367632263,-0.396628130547134,0.00472307873808072,-0.00262678969164972,-0.00231102435685977
1.7,0.221309145411791,0.372544523263056,-0.420576539870559,0.00490644674684655,-0.0027152331693904,-0.00238608908303245
1.75,0.228145679284093,0.386702915526234,-0.445089769420184,0.00509115829261727,-0.00280066914812392,-0.00245693074073384
1.8,0.234670454557246,0.400515580334894,-0.47012336909312,0.00527741780580818,-0.00288170909625727,-0.00252301326953747
1.85,0.240873817522868,0.413935776754752,-0.495635125488679,0.0054653651920121,-0.00295723362942139,-0.00258386858959126
1.9,0.246736907813666,0.426927576628375,-0.521621755682167,0.00565495990723051,-0.00302726150990574,-0.00263921058907093
1.95,0.252223993088077,0.439459532816658,-0.548041282727429,0.00584600270467602,-0.00309127697546307,-0.00268881872817219
2,0.257300638874138,0.45150184333609,-0.574875250259129,0.00603816745212458,-0.00314955573575531,-0.00273245920258844
2.05,0.261937485267556,0.463028302983053,-0.602118336957007,0.00623099696057864,-0.00320274457489667,-0.00276992471956443
2.1,0.266099003081411,0.474018314682499,-0.629728525639608,0.00642389097640186,-0.00325062035254227,-0.00280109359474471
2.15,0.269757931629453,0.484455165043296,-0.657690017649598,0.00661616236346772,-0.00329370167582607,-0.00282590338024864
2.2,0.272891421243969,0.494319391933166,-0.685999097158474,0.00680711932562061,-0.00333283270814736,-0.00284425577913275
2.25,0.275474866406647,0.503588949284583,-0.714612753869236,0.00699607320829757,-0.00336816874890299,-0.00285601687228353
2.3,0.277490622174092,0.512242781516368,-0.74351943611032,0.00718233584562783,-0.00340037427984578,-0.00286105555056757
2.35,0.278937129235896,0.520255578777682,-0.772695229868859,0.00736524767768707,-0.00342947659792524,-0.0028591671392235
2.4,0.279808983962994,0.527599804627028,-0.802083439094973,0.00754412731048201,-0.00345438338882899,-0.00285012514687428
2.45,0.280113043423373,0.534259276675536,-0.831652424621343,0.00771815136748473,-0.00347448010467413,-0.00283387257106654
2.5,0.279850585855673,0.540226567019483,-0.861365715367109,0.00788636639277816,-0.00348902269414723,-0.00281045885697799
2.55,0.279008283400515,0.545489832169543,-0.891158535364427,0.0080478122283809,-0.00349689643290833,-0.00277984265775864
2.6,0.277569834057402,0.550038117129757,-0.92101591394988,0.00820154580308493,-0.00349844153798854,-0.00274199247021551
2.65,0.275513430756622,0.553871813914766,-0.950908926355694,0.00834658508993332,-0.00349401559244499,-0.00269706099320485
2.7,0.27280318652112,0.55699324717137,-0.980795938598453,0.00848201307548378,-0.00348392081749097,-0.00264522351014344
2.75,0.269425623975653,0.559389756247701,-1.01066766793353,0.00860715772070783,-0.00346926301883394,-0.00258641184847068
2.8,0.265364384456053,0.561039265641511,-1.04049083734841,0.00872157169771818,-0.0034503782421681,-0.00252041279876517
2.85,0.260613596937795,0.561926947567405,-1.07021954814562,0.0088248700916016,-0.00342725529993293,-0.00244712514938358
2.9,0.255171283225216,0.56204327380655,-1.09984264919999,0.00891668880922283,-0.00340058155514775,-0.00236652629831208
