Time	 FairTen1	 FairTen2	 FairTen3	 AnchTen1	 AnchTen2	 AnchTen3	 L1N1fX	 L1N2fX	 L3N1fX	 
(s)	 (N)       	 (N)       	 (N)       	 (N)       	 (N)       	 (N)       	 (N)       	 (N)       	 (N)       	 
0	 1.45945e+06	 1.4596e+06	 1.4596e+06	 904967	 905134	 905134	 0.464602	 1.05691	 -27.9989	 
0.1	 1.16659e+06	 1.60813e+06	 1.60813e+06	 904931	 905147	 905147	 0.773417	 0.43669	 -14.7182	 
0.2	 1.28518e+06	 1.54427e+06	 1.54427e+06	 904732	 904967	 904967	 0.603741	 -0.0921916	 17.0085	 
0.3	 1.46029e+06	 1.46601e+06	 1.46601e+06	 837315	 981868	 981868	 2866.67	 5685.38	 1215.47	 
0.4	 1.50394e+06	 1.44531e+06	 1.44531e+06	 17785.1	 1.28422e+06	 1.28422e+06	 -4183.51	 -10337.8	 -288.038	 
0.5	 1.48662e+06	 1.4498e+06	 1.4498e+06	 678527	 1.02238e+06	 1.02238e+06	 586.006	 1500.2	 -65.7403	 
0.6	 1.44332e+06	 1.47228e+06	 1.47228e+06	 864587	 931489	 931489	 -467.101	 -184.981	 -63.9457	 
0.7	 1.01897e+06	 1.73427e+06	 1.73427e+06	 952056	 888815	 888815	 -185.056	 62.7026	 0.39427	 
0.8	 1.06164e+06	 1.59615e+06	 1.59615e+06	 939891	 886327	 886327	 34.7409	 -221.794	 21.522	 
0.9	 1.5873e+06	 1.40313e+06	 1.40313e+06	 973814	 861777	 861777	 256.454	 28.6808	 73.6151	 
1	 1.73295e+06	 1.32918e+06	 1.32918e+06	 934688	 909424	 909424	 940.987	 1642.45	 200.006	 
