t,f1,f2,f3
0,1457.6476954165,1463.76003712255,1460.68509700618
0.05,1454.26583948846,1462.18272806657,1458.28005797933
0.1,1446.29013201008,1458.71144028606,1452.64999313751
0.15,1437.64095796896,1454.62598873559,1446.25175281144
0.2,1431.09147464438,1450.78181504213,1440.82492043847
0.25,1426.81405789535,1447.22061373222,1436.75194758588
0.3,1424.60298104025,1444.03031332458,1434.4059273119
0.35,1423.79984306174,1440.97314534414,1433.6789206226
0.4,1423.47835033415,1437.82542024076,1434.27196307113
0.45,1422.97738548601,1434.50405819215,1435.82062986388
0.5,1421.9867925367,1430.94626360229,1437.80578687433
0.55,1420.11456568526,1427.23286907726,1439.70894797353
0.6,1416.23081069866,1423.23878908688,1440.57560885409
0.65,1409.13939387014,1418.61047094472,1439.30679737176
0.7,1399.08334553584,1413.38412453838,1435.79658984901
0.75,1387.19389748449,1407.35920725942,1429.94145727912
0.8,1376.91928506997,1400.70207176502,1422.66520529448
0.85,1372.46906834621,1394.5174448726,1416.55118948334
0.9,1374.51134914477,1389.54824165725,1413.33069954737
0.95,1380.82896000059,1385.86352636652,1413.25769780598
1,1388.66869781879,1383.40133180904,1416.09536964814
1.05,1395.70106681057,1382.02780331173,1421.26424712109
1.1,1400.45994075089,1381.47105262808,1427.64852001512
1.15,1402.44714354539,1381.61827560045,1434.05003281099
1.2,1401.99042501287,1382.47170232676,1439.4361887504
1.25,1399.68836307513,1384.03846061703,1442.98692825255
1.3,1395.87801527799,1386.36118180734,1444.28037275864
1.35,1390.9815122568,1389.15061296262,1443.12328767208
1.4,1386.40837990834,1391.75410596251,1439.51387569624
1.45,1384.71981142927,1393.50304659407,1433.75127126889
1.5,1388.1398939832,1394.26786963045,1426.77080610417
1.55,1396.80022252523,1394.75214471274,1420.28827914354
1.6,1408.55311064571,1395.88725096873,1415.93051216558
1.65,1420.06879602674,1398.21013804709,1414.27839221387
1.7,1428.15053315876,1401.89816895417,1414.8484052573
1.75,1430.75515829676,1406.81797853571,1416.52123291791
1.8,1427.60427176698,1412.37704074304,1417.88411418888
1.85,1420.08694165883,1417.85580344948,1417.73168725102
1.9,1410.55231534252,1422.64334463553,1415.26851268113
1.95,1401.2587899359,1426.31755654821,1410.31820485984
2,1393.68873281911,1428.70632570311,1403.46631630791
2.05,1388.78734187992,1429.57491398103,1395.5039049956
2.1,1387.43874110767,1428.61645106841,1387.13333622696
2.15,1390.56911841031,1425.76507535409,1379.14909550522
2.2,1398.36109716761,1421.37845394149,1372.40616013972
